Kategorie,Bundesland,jahr,wert
Allgemeinbildende und berufliche Schulen,Saarland,1995,491792
Allgemeinbildende und berufliche Schulen,Saarland,1996,488242
Allgemeinbildende und berufliche Schulen,Saarland,1997,503679
Allgemeinbildende und berufliche Schulen,Saarland,1998,511597
Allgemeinbildende und berufliche Schulen,Saarland,1999,525977
Allgemeinbildende und berufliche Schulen,Saarland,2000,534141
Allgemeinbildende und berufliche Schulen,Saarland,2001,549999
Allgemeinbildende und berufliche Schulen,Saarland,2002,540650
Allgemeinbildende und berufliche Schulen,Saarland,2003,540395
Allgemeinbildende und berufliche Schulen,Saarland,2004,561841
Allgemeinbildende und berufliche Schulen,Saarland,2005,566700
Allgemeinbildende und berufliche Schulen,Saarland,2006,557697
Allgemeinbildende und berufliche Schulen,Saarland,2007,521062
Allgemeinbildende und berufliche Schulen,Saarland,2008,573458
Allgemeinbildende und berufliche Schulen,Saarland,2009,600436
Allgemeinbildende und berufliche Schulen,Saarland,2010,622116
Allgemeinbildende und berufliche Schulen,Saarland,2011,612302
Allgemeinbildende und berufliche Schulen,Saarland,"2012
 vorl. Ist",613002
Allgemeinbildende und berufliche Schulen,Saarland,"2013
 vorl. Ist",624979
Allgemeinbildende und berufliche Schulen,Saarland,"2014
 vorl. Ist",636124
Allgemeinbildende und berufliche Schulen,Saarland,"2015
 vorl. Ist",633813
Allgemeinbildende und berufliche Schulen,Saarland,"2015
 Soll",652539
Allgemeinbildende und berufliche Schulen,Saarland,"2016
 Soll",656952
Allgemeinbildende und berufliche Schulen,Sachsen,1995,2613627
Allgemeinbildende und berufliche Schulen,Sachsen,1996,2537741
Allgemeinbildende und berufliche Schulen,Sachsen,1997,2537985
Allgemeinbildende und berufliche Schulen,Sachsen,1998,2526608
Allgemeinbildende und berufliche Schulen,Sachsen,1999,2553865
Allgemeinbildende und berufliche Schulen,Sachsen,2000,2516962
Allgemeinbildende und berufliche Schulen,Sachsen,2001,2472635
Allgemeinbildende und berufliche Schulen,Sachsen,2002,2549890
Allgemeinbildende und berufliche Schulen,Sachsen,2003,2579480
Allgemeinbildende und berufliche Schulen,Sachsen,2004,2536754
Allgemeinbildende und berufliche Schulen,Sachsen,2005,2462990
Allgemeinbildende und berufliche Schulen,Sachsen,2006,2484415
Allgemeinbildende und berufliche Schulen,Sachsen,2007,2336744
Allgemeinbildende und berufliche Schulen,Sachsen,2008,2391682
Allgemeinbildende und berufliche Schulen,Sachsen,2009,2491337
Allgemeinbildende und berufliche Schulen,Sachsen,2010,2719806
Allgemeinbildende und berufliche Schulen,Sachsen,2011,2682812
Allgemeinbildende und berufliche Schulen,Sachsen,"2012
 vorl. Ist",2675896
Allgemeinbildende und berufliche Schulen,Sachsen,"2013
 vorl. Ist",2715923
Allgemeinbildende und berufliche Schulen,Sachsen,"2014
 vorl. Ist",2838520
Allgemeinbildende und berufliche Schulen,Sachsen,"2015
 vorl. Ist",2910160
Allgemeinbildende und berufliche Schulen,Sachsen,"2015
 Soll",2909688
Allgemeinbildende und berufliche Schulen,Sachsen,"2016
 Soll",3019527
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,1995,1706069
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,1996,1740586
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,1997,1771907
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,1998,1742196
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,1999,1689538
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2000,1664989
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2001,1641132
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2002,1635843
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2003,1645376
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2004,1843379
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2005,1519466
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2006,1482966
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2007,1400797
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2008,1383820
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2009,1443862
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2010,1544262
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,2011,1579718
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,"2012
 vorl. Ist",1542875
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,"2013
 vorl. Ist",1570495
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,"2014
 vorl. Ist",1602787
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,"2015
 vorl. Ist",1625855
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,"2015
 Soll",1567206
Allgemeinbildende und berufliche Schulen,Sachsen-Anhalt,"2016
 Soll",1538222
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,1995,1397440
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,1996,1416174
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,1997,1433238
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,1998,1461056
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,1999,1484431
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2000,1487158
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2001,1513799
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2002,1543699
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2003,1583216
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2004,1588479
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2005,1638680
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2006,1656677
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2007,1618435
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2008,1650480
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2009,1777202
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2010,1852084
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,2011,1836655
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,"2012
 vorl. Ist",1887981
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,"2013
 vorl. Ist",1903498
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,"2014
 vorl. Ist",1933583
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,"2015
 vorl. Ist",2018026
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,"2015
 Soll",1924278
Allgemeinbildende und berufliche Schulen,Schleswig-Holstein,"2016
 Soll",1953368
Allgemeinbildende und berufliche Schulen,Thüringen,1995,1689553
Allgemeinbildende und berufliche Schulen,Thüringen,1996,1712456
Allgemeinbildende und berufliche Schulen,Thüringen,1997,1748858
Allgemeinbildende und berufliche Schulen,Thüringen,1998,1642531
Allgemeinbildende und berufliche Schulen,Thüringen,1999,1631113
Allgemeinbildende und berufliche Schulen,Thüringen,2000,1603481
Allgemeinbildende und berufliche Schulen,Thüringen,2001,1587605
Allgemeinbildende und berufliche Schulen,Thüringen,2002,1578648
Allgemeinbildende und berufliche Schulen,Thüringen,2003,1540017
Allgemeinbildende und berufliche Schulen,Thüringen,2004,1468458
Allgemeinbildende und berufliche Schulen,Thüringen,2005,1428209
Allgemeinbildende und berufliche Schulen,Thüringen,2006,1399448
Allgemeinbildende und berufliche Schulen,Thüringen,2007,1372906
Allgemeinbildende und berufliche Schulen,Thüringen,2008,1384037
Allgemeinbildende und berufliche Schulen,Thüringen,2009,1476679
Allgemeinbildende und berufliche Schulen,Thüringen,2010,1566966
Allgemeinbildende und berufliche Schulen,Thüringen,2011,1529684
Allgemeinbildende und berufliche Schulen,Thüringen,"2012
 vorl. Ist",1532514
Allgemeinbildende und berufliche Schulen,Thüringen,"2013
 vorl. Ist",1583041
Allgemeinbildende und berufliche Schulen,Thüringen,"2014
 vorl. Ist",1608719
Allgemeinbildende und berufliche Schulen,Thüringen,"2015
 vorl. Ist",1605165
Allgemeinbildende und berufliche Schulen,Thüringen,"2015
 Soll",1610061
Allgemeinbildende und berufliche Schulen,Thüringen,"2016
 Soll",1686491
Allgemeinbildende und berufliche Schulen,Berlin,1995,2238772
Allgemeinbildende und berufliche Schulen,Berlin,1996,2254610
Allgemeinbildende und berufliche Schulen,Berlin,1997,2143674
Allgemeinbildende und berufliche Schulen,Berlin,1998,2120858
Allgemeinbildende und berufliche Schulen,Berlin,1999,2090323
Allgemeinbildende und berufliche Schulen,Berlin,2000,2042342
Allgemeinbildende und berufliche Schulen,Berlin,2001,2067249
Allgemeinbildende und berufliche Schulen,Berlin,2002,2096126
Allgemeinbildende und berufliche Schulen,Berlin,2003,2021262
Allgemeinbildende und berufliche Schulen,Berlin,2004,1957328
Allgemeinbildende und berufliche Schulen,Berlin,2005,2038066
Allgemeinbildende und berufliche Schulen,Berlin,2006,2102211
Allgemeinbildende und berufliche Schulen,Berlin,2007,2079771
Allgemeinbildende und berufliche Schulen,Berlin,2008,2169131
Allgemeinbildende und berufliche Schulen,Berlin,2009,2261758
Allgemeinbildende und berufliche Schulen,Berlin,2010,2389113
Allgemeinbildende und berufliche Schulen,Berlin,2011,2483355
Allgemeinbildende und berufliche Schulen,Berlin,"2012
 vorl. Ist",2587004
Allgemeinbildende und berufliche Schulen,Berlin,"2013
 vorl. Ist",2688306
Allgemeinbildende und berufliche Schulen,Berlin,"2014
 vorl. Ist",2923806
Allgemeinbildende und berufliche Schulen,Berlin,"2015
 vorl. Ist",3115421
Allgemeinbildende und berufliche Schulen,Berlin,"2015
 Soll",2982350
Allgemeinbildende und berufliche Schulen,Berlin,"2016
 Soll",3280953
Allgemeinbildende und berufliche Schulen,Bremen,1995,410262
Allgemeinbildende und berufliche Schulen,Bremen,1996,409781
Allgemeinbildende und berufliche Schulen,Bremen,1997,421724
Allgemeinbildende und berufliche Schulen,Bremen,1998,411061
Allgemeinbildende und berufliche Schulen,Bremen,1999,418018
Allgemeinbildende und berufliche Schulen,Bremen,2000,408499
Allgemeinbildende und berufliche Schulen,Bremen,2001,408543
Allgemeinbildende und berufliche Schulen,Bremen,2002,386392
Allgemeinbildende und berufliche Schulen,Bremen,2003,401214
Allgemeinbildende und berufliche Schulen,Bremen,2004,381939
Allgemeinbildende und berufliche Schulen,Bremen,2005,384154
Allgemeinbildende und berufliche Schulen,Bremen,2006,397772
Allgemeinbildende und berufliche Schulen,Bremen,2007,399170
Allgemeinbildende und berufliche Schulen,Bremen,2008,413057
Allgemeinbildende und berufliche Schulen,Bremen,2009,438540
Allgemeinbildende und berufliche Schulen,Bremen,2010,494113
Allgemeinbildende und berufliche Schulen,Bremen,2011,490689
Allgemeinbildende und berufliche Schulen,Bremen,"2012
 vorl. Ist",487255
Allgemeinbildende und berufliche Schulen,Bremen,"2013
 vorl. Ist",482558
Allgemeinbildende und berufliche Schulen,Bremen,"2014
 vorl. Ist",488725
Allgemeinbildende und berufliche Schulen,Bremen,"2015
 vorl. Ist",506989
Allgemeinbildende und berufliche Schulen,Bremen,"2015
 Soll",480155
Allgemeinbildende und berufliche Schulen,Bremen,"2016
 Soll",492159
Allgemeinbildende und berufliche Schulen,Hamburg,1995,1100202
Allgemeinbildende und berufliche Schulen,Hamburg,1996,1165705
Allgemeinbildende und berufliche Schulen,Hamburg,1997,1158400
Allgemeinbildende und berufliche Schulen,Hamburg,1998,1087764
Allgemeinbildende und berufliche Schulen,Hamburg,1999,1137947
Allgemeinbildende und berufliche Schulen,Hamburg,2000,1168186
Allgemeinbildende und berufliche Schulen,Hamburg,2001,1214203
Allgemeinbildende und berufliche Schulen,Hamburg,2002,1177130
Allgemeinbildende und berufliche Schulen,Hamburg,2003,1175668
Allgemeinbildende und berufliche Schulen,Hamburg,2004,1166478
Allgemeinbildende und berufliche Schulen,Hamburg,2005,1133920
Allgemeinbildende und berufliche Schulen,Hamburg,2006,1138694
Allgemeinbildende und berufliche Schulen,Hamburg,2007,1243962
Allgemeinbildende und berufliche Schulen,Hamburg,2008,1285761
Allgemeinbildende und berufliche Schulen,Hamburg,2009,1353436
Allgemeinbildende und berufliche Schulen,Hamburg,2010,1355309
Allgemeinbildende und berufliche Schulen,Hamburg,2011,1468735
Allgemeinbildende und berufliche Schulen,Hamburg,"2012
 vorl. Ist",1485782
Allgemeinbildende und berufliche Schulen,Hamburg,"2013
 vorl. Ist",1583580
Allgemeinbildende und berufliche Schulen,Hamburg,"2014
 vorl. Ist",1677476
Allgemeinbildende und berufliche Schulen,Hamburg,"2015
 vorl. Ist",1708557
Allgemeinbildende und berufliche Schulen,Hamburg,"2015
 Soll",1699501
Allgemeinbildende und berufliche Schulen,Hamburg,"2016
 Soll",1777665
Förderung des Bildungswesens ,Bund,1995,867672
Förderung des Bildungswesens ,Bund,1996,749980
Förderung des Bildungswesens ,Bund,1997,626932
Förderung des Bildungswesens ,Bund,1998,600207
Förderung des Bildungswesens ,Bund,1999,576936
Förderung des Bildungswesens ,Bund,2000,360829
Förderung des Bildungswesens ,Bund,2001,615567
Förderung des Bildungswesens ,Bund,2002,872585
Förderung des Bildungswesens ,Bund,2003,991672
Förderung des Bildungswesens ,Bund,2004,1083852
Förderung des Bildungswesens ,Bund,2005,1171649
Förderung des Bildungswesens ,Bund,2006,1254894
Förderung des Bildungswesens ,Bund,2007,1328122
Förderung des Bildungswesens ,Bund,2008,1474894
Förderung des Bildungswesens ,Bund,2009,1710204
Förderung des Bildungswesens ,Bund,2010,1982923
Förderung des Bildungswesens ,Bund,2011,2240689
Förderung des Bildungswesens ,Bund,"2012
 vorl. Ist",2308554
Förderung des Bildungswesens ,Bund,"2013
 vorl. Ist",2564472
Förderung des Bildungswesens ,Bund,"2014
 vorl. Ist",2495125
Förderung des Bildungswesens ,Bund,"2015
 vorl. Ist",3180661
Förderung des Bildungswesens ,Bund,"2015
 Soll",3379621
Förderung des Bildungswesens ,Bund,"2016
 Soll",3506990
Förderung des Bildungswesens ,Baden-Württemberg,1995,488059
Förderung des Bildungswesens ,Baden-Württemberg,1996,476682
Förderung des Bildungswesens ,Baden-Württemberg,1997,408819
Förderung des Bildungswesens ,Baden-Württemberg,1998,394220
Förderung des Bildungswesens ,Baden-Württemberg,1999,389565
Förderung des Bildungswesens ,Baden-Württemberg,2000,385267
Förderung des Bildungswesens ,Baden-Württemberg,2001,422094
Förderung des Bildungswesens ,Baden-Württemberg,2002,293720
Förderung des Bildungswesens ,Baden-Württemberg,2003,297463
Förderung des Bildungswesens ,Baden-Württemberg,2004,291272
Förderung des Bildungswesens ,Baden-Württemberg,2005,303383
Förderung des Bildungswesens ,Baden-Württemberg,2006,286764
Förderung des Bildungswesens ,Baden-Württemberg,2007,288882
Förderung des Bildungswesens ,Baden-Württemberg,2008,298095
Förderung des Bildungswesens ,Baden-Württemberg,2009,468766
Förderung des Bildungswesens ,Baden-Württemberg,2010,497596
Förderung des Bildungswesens ,Baden-Württemberg,2011,452288
Förderung des Bildungswesens ,Baden-Württemberg,"2012
 vorl. Ist",419437
Förderung des Bildungswesens ,Baden-Württemberg,"2013
 vorl. Ist",426856
Förderung des Bildungswesens ,Baden-Württemberg,"2014
 vorl. Ist",419503
Förderung des Bildungswesens ,Baden-Württemberg,"2015
 vorl. Ist",332339
Förderung des Bildungswesens ,Baden-Württemberg,"2015
 Soll",366829
Förderung des Bildungswesens ,Baden-Württemberg,"2016
 Soll",381841
Förderung des Bildungswesens ,Bayern,1995,368327
Förderung des Bildungswesens ,Bayern,1996,359970
Förderung des Bildungswesens ,Bayern,1997,361624
Förderung des Bildungswesens ,Bayern,1998,345570
Förderung des Bildungswesens ,Bayern,1999,373752
Förderung des Bildungswesens ,Bayern,2000,387268
Förderung des Bildungswesens ,Bayern,2001,419064
Förderung des Bildungswesens ,Bayern,2002,462847
Förderung des Bildungswesens ,Bayern,2003,487237
Förderung des Bildungswesens ,Bayern,2004,484238
Förderung des Bildungswesens ,Bayern,2005,510315
Förderung des Bildungswesens ,Bayern,2006,513515
Förderung des Bildungswesens ,Bayern,2007,523073
Förderung des Bildungswesens ,Bayern,2008,547899
Förderung des Bildungswesens ,Bayern,2009,570349
Förderung des Bildungswesens ,Bayern,2010,588751
Förderung des Bildungswesens ,Bayern,2011,620704
Förderung des Bildungswesens ,Bayern,"2012
 vorl. Ist",633455
Förderung des Bildungswesens ,Bayern,"2013
 vorl. Ist",668517
Förderung des Bildungswesens ,Bayern,"2014
 vorl. Ist",671034
Förderung des Bildungswesens ,Bayern,"2015
 vorl. Ist",544798
Förderung des Bildungswesens ,Bayern,"2015
 Soll",522110
Förderung des Bildungswesens ,Bayern,"2016
 Soll",532560
Förderung des Bildungswesens ,Brandenburg,1995,50093
Förderung des Bildungswesens ,Brandenburg,1996,63513
Förderung des Bildungswesens ,Brandenburg,1997,68979
Förderung des Bildungswesens ,Brandenburg,1998,78198
Förderung des Bildungswesens ,Brandenburg,1999,77992
Förderung des Bildungswesens ,Brandenburg,2000,78548
Förderung des Bildungswesens ,Brandenburg,2001,86553
Förderung des Bildungswesens ,Brandenburg,2002,90042
Förderung des Bildungswesens ,Brandenburg,2003,88994
Förderung des Bildungswesens ,Brandenburg,2004,86850
Förderung des Bildungswesens ,Brandenburg,2005,81775
Förderung des Bildungswesens ,Brandenburg,2006,79045
Förderung des Bildungswesens ,Brandenburg,2007,77605
Förderung des Bildungswesens ,Brandenburg,2008,82233
Förderung des Bildungswesens ,Brandenburg,2009,92207
Förderung des Bildungswesens ,Brandenburg,2010,95693
Förderung des Bildungswesens ,Brandenburg,2011,100502
Förderung des Bildungswesens ,Brandenburg,"2012
 vorl. Ist",96241
Förderung des Bildungswesens ,Brandenburg,"2013
 vorl. Ist",98375
Förderung des Bildungswesens ,Brandenburg,"2014
 vorl. Ist",97330
Förderung des Bildungswesens ,Brandenburg,"2015
 vorl. Ist",62600
Förderung des Bildungswesens ,Brandenburg,"2015
 Soll",64016
Förderung des Bildungswesens ,Brandenburg,"2016
 Soll",66721
Förderung des Bildungswesens ,Hessen,1995,154374
Förderung des Bildungswesens ,Hessen,1996,149829
Förderung des Bildungswesens ,Hessen,1997,139463
Förderung des Bildungswesens ,Hessen,1998,134230
Förderung des Bildungswesens ,Hessen,1999,127046
Förderung des Bildungswesens ,Hessen,2000,140166
Förderung des Bildungswesens ,Hessen,2001,146616
Förderung des Bildungswesens ,Hessen,2002,161027
Förderung des Bildungswesens ,Hessen,2003,174582
Förderung des Bildungswesens ,Hessen,2004,173442
Förderung des Bildungswesens ,Hessen,2005,180099
Förderung des Bildungswesens ,Hessen,2006,185201
Förderung des Bildungswesens ,Hessen,2007,184064
Förderung des Bildungswesens ,Hessen,2008,201792
Förderung des Bildungswesens ,Hessen,2009,222628
Förderung des Bildungswesens ,Hessen,2010,223808
Förderung des Bildungswesens ,Hessen,2011,234838
Förderung des Bildungswesens ,Hessen,"2012
 vorl. Ist",249856
Förderung des Bildungswesens ,Hessen,"2013
 vorl. Ist",243370
Förderung des Bildungswesens ,Hessen,"2014
 vorl. Ist",233199
Förderung des Bildungswesens ,Hessen,"2015
 vorl. Ist",170123
Förderung des Bildungswesens ,Hessen,"2015
 Soll",177315
Förderung des Bildungswesens ,Hessen,"2016
 Soll",180839
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,1995,42004
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,1996,47884
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,1997,46532
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,1998,45437
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,1999,43735
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2000,41378
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2001,54217
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2002,68460
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2003,69342
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2004,69558
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2005,76904
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2006,97021
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2007,92246
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2008,98371
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2009,99325
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2010,98117
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,2011,101770
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,"2012
 vorl. Ist",104588
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,"2013
 vorl. Ist",103946
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,"2014
 vorl. Ist",102748
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,"2015
 vorl. Ist",75943
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,"2015
 Soll",82710
Förderung des Bildungswesens ,Mecklenburg-Vorpommern,"2016
 Soll",56896
Förderung des Bildungswesens ,Niedersachsen,1995,281926
Förderung des Bildungswesens ,Niedersachsen,1996,263782
Förderung des Bildungswesens ,Niedersachsen,1997,257854
Förderung des Bildungswesens ,Niedersachsen,1998,260120
Förderung des Bildungswesens ,Niedersachsen,1999,260603
Förderung des Bildungswesens ,Niedersachsen,2000,280428
Förderung des Bildungswesens ,Niedersachsen,2001,294012
Förderung des Bildungswesens ,Niedersachsen,2002,287317
Förderung des Bildungswesens ,Niedersachsen,2003,299717
Förderung des Bildungswesens ,Niedersachsen,2004,313019
Förderung des Bildungswesens ,Niedersachsen,2005,324912
Förderung des Bildungswesens ,Niedersachsen,2006,323514
Förderung des Bildungswesens ,Niedersachsen,2007,334653
Förderung des Bildungswesens ,Niedersachsen,2008,347946
Förderung des Bildungswesens ,Niedersachsen,2009,366185
Förderung des Bildungswesens ,Niedersachsen,2010,376098
Förderung des Bildungswesens ,Niedersachsen,2011,396064
Förderung des Bildungswesens ,Niedersachsen,"2012
 vorl. Ist",395679
Förderung des Bildungswesens ,Niedersachsen,"2013
 vorl. Ist",405023
Förderung des Bildungswesens ,Niedersachsen,"2014
 vorl. Ist",424645
Förderung des Bildungswesens ,Niedersachsen,"2015
 vorl. Ist",334388
Förderung des Bildungswesens ,Niedersachsen,"2015
 Soll",334005
Förderung des Bildungswesens ,Niedersachsen,"2016
 Soll",340003
Förderung des Bildungswesens ,Nordrhein-Westfalen,1995,480208
Förderung des Bildungswesens ,Nordrhein-Westfalen,1996,476302
Förderung des Bildungswesens ,Nordrhein-Westfalen,1997,493036
Förderung des Bildungswesens ,Nordrhein-Westfalen,1998,475952
Förderung des Bildungswesens ,Nordrhein-Westfalen,1999,441321
Förderung des Bildungswesens ,Nordrhein-Westfalen,2000,469840
Förderung des Bildungswesens ,Nordrhein-Westfalen,2001,513479
Förderung des Bildungswesens ,Nordrhein-Westfalen,2002,555303
Förderung des Bildungswesens ,Nordrhein-Westfalen,2003,567070
Förderung des Bildungswesens ,Nordrhein-Westfalen,2004,585820
Förderung des Bildungswesens ,Nordrhein-Westfalen,2005,618830
Förderung des Bildungswesens ,Nordrhein-Westfalen,2006,579690
Förderung des Bildungswesens ,Nordrhein-Westfalen,2007,531503
Förderung des Bildungswesens ,Nordrhein-Westfalen,2008,627742
Förderung des Bildungswesens ,Nordrhein-Westfalen,2009,712568
Förderung des Bildungswesens ,Nordrhein-Westfalen,2010,721602
Förderung des Bildungswesens ,Nordrhein-Westfalen,2011,786849
Förderung des Bildungswesens ,Nordrhein-Westfalen,"2012
 vorl. Ist",798008
Förderung des Bildungswesens ,Nordrhein-Westfalen,"2013
 vorl. Ist",784482
Förderung des Bildungswesens ,Nordrhein-Westfalen,"2014
 vorl. Ist",800257
Förderung des Bildungswesens ,Nordrhein-Westfalen,"2015
 vorl. Ist",542568
Förderung des Bildungswesens ,Nordrhein-Westfalen,"2015
 Soll",560491
Förderung des Bildungswesens ,Nordrhein-Westfalen,"2016
 Soll",580608
Förderung des Bildungswesens ,Rheinland-Pfalz,1995,119387
Förderung des Bildungswesens ,Rheinland-Pfalz,1996,121240
Förderung des Bildungswesens ,Rheinland-Pfalz,1997,120814
Förderung des Bildungswesens ,Rheinland-Pfalz,1998,116852
Förderung des Bildungswesens ,Rheinland-Pfalz,1999,114763
Förderung des Bildungswesens ,Rheinland-Pfalz,2000,116596
Förderung des Bildungswesens ,Rheinland-Pfalz,2001,120839
Förderung des Bildungswesens ,Rheinland-Pfalz,2002,126347
Förderung des Bildungswesens ,Rheinland-Pfalz,2003,132785
Förderung des Bildungswesens ,Rheinland-Pfalz,2004,133074
Förderung des Bildungswesens ,Rheinland-Pfalz,2005,118789
Förderung des Bildungswesens ,Rheinland-Pfalz,2006,138552
Förderung des Bildungswesens ,Rheinland-Pfalz,2007,131781
Förderung des Bildungswesens ,Rheinland-Pfalz,2008,114152
Förderung des Bildungswesens ,Rheinland-Pfalz,2009,102894
Förderung des Bildungswesens ,Rheinland-Pfalz,2010,105593
Förderung des Bildungswesens ,Rheinland-Pfalz,2011,100165
Förderung des Bildungswesens ,Rheinland-Pfalz,"2012
 vorl. Ist",103779
Förderung des Bildungswesens ,Rheinland-Pfalz,"2013
 vorl. Ist",113352
Förderung des Bildungswesens ,Rheinland-Pfalz,"2014
 vorl. Ist",121278
Förderung des Bildungswesens ,Rheinland-Pfalz,"2015
 vorl. Ist",95812
Förderung des Bildungswesens ,Rheinland-Pfalz,"2015
 Soll",145813
Förderung des Bildungswesens ,Rheinland-Pfalz,"2016
 Soll",116449
Förderung des Bildungswesens ,Saarland,1995,17188
Förderung des Bildungswesens ,Saarland,1996,13147
Förderung des Bildungswesens ,Saarland,1997,12655
Förderung des Bildungswesens ,Saarland,1998,12605
Förderung des Bildungswesens ,Saarland,1999,13586
Förderung des Bildungswesens ,Saarland,2000,10856
Förderung des Bildungswesens ,Saarland,2001,12869
Förderung des Bildungswesens ,Saarland,2002,18124
Förderung des Bildungswesens ,Saarland,2003,19749
Förderung des Bildungswesens ,Saarland,2004,18137
Förderung des Bildungswesens ,Saarland,2005,20497
Förderung des Bildungswesens ,Saarland,2006,23436
Förderung des Bildungswesens ,Saarland,2007,23130
Förderung des Bildungswesens ,Saarland,2008,24309
Förderung des Bildungswesens ,Saarland,2009,26904
Förderung des Bildungswesens ,Saarland,2010,26579
Förderung des Bildungswesens ,Saarland,2011,27557
Förderung des Bildungswesens ,Saarland,"2012
 vorl. Ist",28463
Förderung des Bildungswesens ,Saarland,"2013
 vorl. Ist",28435
Förderung des Bildungswesens ,Saarland,"2014
 vorl. Ist",26011
Förderung des Bildungswesens ,Saarland,"2015
 vorl. Ist",19048
Förderung des Bildungswesens ,Saarland,"2015
 Soll",20381
Förderung des Bildungswesens ,Saarland,"2016
 Soll",20087
Förderung des Bildungswesens ,Sachsen,1995,127775
Förderung des Bildungswesens ,Sachsen,1996,126698
Förderung des Bildungswesens ,Sachsen,1997,116660
Förderung des Bildungswesens ,Sachsen,1998,113718
Förderung des Bildungswesens ,Sachsen,1999,111016
Förderung des Bildungswesens ,Sachsen,2000,113666
Förderung des Bildungswesens ,Sachsen,2001,118339
Förderung des Bildungswesens ,Sachsen,2002,124948
Förderung des Bildungswesens ,Sachsen,2003,119777
Förderung des Bildungswesens ,Sachsen,2004,121773
Förderung des Bildungswesens ,Sachsen,2005,127354
Förderung des Bildungswesens ,Sachsen,2006,127124
Förderung des Bildungswesens ,Sachsen,2007,134736
Förderung des Bildungswesens ,Sachsen,2008,133998
Förderung des Bildungswesens ,Sachsen,2009,147795
Förderung des Bildungswesens ,Sachsen,2010,145069
Förderung des Bildungswesens ,Sachsen,2011,206254
