Sprache,Schulart,Klassenstufe,Bundesland,Anzahl
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Baden-Württemberg,158
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Bayern,306
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Berlin,21642
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Brandenburg,18107
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Bremen,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Hamburg,186
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Hessen,7084
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Niedersachsen,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Nordrhein-Westfalen,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Rheinland-Pfalz,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Saarland,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Sachsen,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Sachsen-Anhalt,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Schleswig-Holstein,0
Englisch,Schulartunabhängige Orientierungsstufe,5. Klassenstufe,Thüringen,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Baden-Württemberg,183
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Bayern,306
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Berlin,24465
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Brandenburg,18276
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Bremen,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Hamburg,151
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Hessen,7363
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Niedersachsen,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Nordrhein-Westfalen,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Rheinland-Pfalz,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Saarland,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Sachsen,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Sachsen-Anhalt,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Schleswig-Holstein,0
Englisch,Schulartunabhängige Orientierungsstufe,6. Klassenstufe,Thüringen,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Baden-Württemberg,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Bayern,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Berlin,2111
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Brandenburg,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Bremen,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Hamburg,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Hessen,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Niedersachsen,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Nordrhein-Westfalen,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Rheinland-Pfalz,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Saarland,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Sachsen,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Sachsen-Anhalt,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Schleswig-Holstein,0
Englisch,Schulartunabhängige Orientierungsstufe,Sekundarstufe 1 - ohne Klassenstufe,Thüringen,0
Englisch,Hauptschulen,5. Klassenstufe,Baden-Württemberg,7123
Englisch,Hauptschulen,5. Klassenstufe,Bayern,32785
Englisch,Hauptschulen,5. Klassenstufe,Berlin,0
Englisch,Hauptschulen,5. Klassenstufe,Brandenburg,0
Englisch,Hauptschulen,5. Klassenstufe,Bremen,0
Englisch,Hauptschulen,5. Klassenstufe,Hamburg,0
Englisch,Hauptschulen,5. Klassenstufe,Hessen,1219
Englisch,Hauptschulen,5. Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Hauptschulen,5. Klassenstufe,Niedersachsen,3143
Englisch,Hauptschulen,5. Klassenstufe,Nordrhein-Westfalen,8984
Englisch,Hauptschulen,5. Klassenstufe,Rheinland-Pfalz,69
Englisch,Hauptschulen,5. Klassenstufe,Saarland,0
Englisch,Hauptschulen,5. Klassenstufe,Sachsen,0
Englisch,Hauptschulen,5. Klassenstufe,Sachsen-Anhalt,0
Englisch,Hauptschulen,5. Klassenstufe,Schleswig-Holstein,0
Englisch,Hauptschulen,5. Klassenstufe,Thüringen,0
Englisch,Hauptschulen,6. Klassenstufe,Baden-Württemberg,10436
Englisch,Hauptschulen,6. Klassenstufe,Bayern,32301
Englisch,Hauptschulen,6. Klassenstufe,Berlin,0
Englisch,Hauptschulen,6. Klassenstufe,Brandenburg,0
Englisch,Hauptschulen,6. Klassenstufe,Bremen,0
Englisch,Hauptschulen,6. Klassenstufe,Hamburg,0
Englisch,Hauptschulen,6. Klassenstufe,Hessen,1693
Englisch,Hauptschulen,6. Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Hauptschulen,6. Klassenstufe,Niedersachsen,3846
Englisch,Hauptschulen,6. Klassenstufe,Nordrhein-Westfalen,10247
Englisch,Hauptschulen,6. Klassenstufe,Rheinland-Pfalz,78
Englisch,Hauptschulen,6. Klassenstufe,Saarland,0
Englisch,Hauptschulen,6. Klassenstufe,Sachsen,0
Englisch,Hauptschulen,6. Klassenstufe,Sachsen-Anhalt,0
Englisch,Hauptschulen,6. Klassenstufe,Schleswig-Holstein,0
Englisch,Hauptschulen,6. Klassenstufe,Thüringen,0
Englisch,Hauptschulen,7. Klassenstufe,Baden-Württemberg,14557
Englisch,Hauptschulen,7. Klassenstufe,Bayern,34035
Englisch,Hauptschulen,7. Klassenstufe,Berlin,0
Englisch,Hauptschulen,7. Klassenstufe,Brandenburg,0
Englisch,Hauptschulen,7. Klassenstufe,Bremen,0
Englisch,Hauptschulen,7. Klassenstufe,Hamburg,0
Englisch,Hauptschulen,7. Klassenstufe,Hessen,4683
Englisch,Hauptschulen,7. Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Hauptschulen,7. Klassenstufe,Niedersachsen,5444
Englisch,Hauptschulen,7. Klassenstufe,Nordrhein-Westfalen,16676
Englisch,Hauptschulen,7. Klassenstufe,Rheinland-Pfalz,86
Englisch,Hauptschulen,7. Klassenstufe,Saarland,0
Englisch,Hauptschulen,7. Klassenstufe,Sachsen,0
Englisch,Hauptschulen,7. Klassenstufe,Sachsen-Anhalt,0
Englisch,Hauptschulen,7. Klassenstufe,Schleswig-Holstein,0
Englisch,Hauptschulen,7. Klassenstufe,Thüringen,0
Englisch,Hauptschulen,8. Klassenstufe,Baden-Württemberg,19758
Englisch,Hauptschulen,8. Klassenstufe,Bayern,36544
Englisch,Hauptschulen,8. Klassenstufe,Berlin,0
Englisch,Hauptschulen,8. Klassenstufe,Brandenburg,0
Englisch,Hauptschulen,8. Klassenstufe,Bremen,0
Englisch,Hauptschulen,8. Klassenstufe,Hamburg,0
Englisch,Hauptschulen,8. Klassenstufe,Hessen,5518
Englisch,Hauptschulen,8. Klassenstufe,Mecklenburg-Vorpommern,0
Englisch,Hauptschulen,8. Klassenstufe,Niedersachsen,6719
Englisch,Hauptschulen,8. Klassenstufe,Nordrhein-Westfalen,23020
Englisch,Hauptschulen,8. Klassenstufe,Rheinland-Pfalz,93
Englisch,Hauptschulen,8. Klassenstufe,Saarland,0
