Sprache,Schulart,Klassenstufe,Bundesland,Anzahl
Französisch,Hauptschulen,9. Klassenstufe,Hamburg,0
Französisch,Hauptschulen,9. Klassenstufe,Hessen,1
Französisch,Hauptschulen,9. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Hauptschulen,9. Klassenstufe,Niedersachsen,35
Französisch,Hauptschulen,9. Klassenstufe,Nordrhein-Westfalen,152
Französisch,Hauptschulen,9. Klassenstufe,Rheinland-Pfalz,0
Französisch,Hauptschulen,9. Klassenstufe,Saarland,0
Französisch,Hauptschulen,9. Klassenstufe,Sachsen,0
Französisch,Hauptschulen,9. Klassenstufe,Sachsen-Anhalt,0
Französisch,Hauptschulen,9. Klassenstufe,Schleswig-Holstein,0
Französisch,Hauptschulen,9. Klassenstufe,Thüringen,0
Französisch,Hauptschulen,10. Klassenstufe,Baden-Württemberg,0
Französisch,Hauptschulen,10. Klassenstufe,Bayern,26
Französisch,Hauptschulen,10. Klassenstufe,Berlin,0
Französisch,Hauptschulen,10. Klassenstufe,Brandenburg,0
Französisch,Hauptschulen,10. Klassenstufe,Bremen,0
Französisch,Hauptschulen,10. Klassenstufe,Hamburg,0
Französisch,Hauptschulen,10. Klassenstufe,Hessen,0
Französisch,Hauptschulen,10. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Hauptschulen,10. Klassenstufe,Niedersachsen,39
Französisch,Hauptschulen,10. Klassenstufe,Nordrhein-Westfalen,162
Französisch,Hauptschulen,10. Klassenstufe,Rheinland-Pfalz,0
Französisch,Hauptschulen,10. Klassenstufe,Saarland,0
Französisch,Hauptschulen,10. Klassenstufe,Sachsen,0
Französisch,Hauptschulen,10. Klassenstufe,Sachsen-Anhalt,0
Französisch,Hauptschulen,10. Klassenstufe,Schleswig-Holstein,0
Französisch,Hauptschulen,10. Klassenstufe,Thüringen,0
Französisch,Hauptschulen,Bereich unbekannt,Baden-Württemberg,1929
Französisch,Hauptschulen,Bereich unbekannt,Bayern,0
Französisch,Hauptschulen,Bereich unbekannt,Berlin,0
Französisch,Hauptschulen,Bereich unbekannt,Brandenburg,0
Französisch,Hauptschulen,Bereich unbekannt,Bremen,0
Französisch,Hauptschulen,Bereich unbekannt,Hamburg,0
Französisch,Hauptschulen,Bereich unbekannt,Hessen,0
Französisch,Hauptschulen,Bereich unbekannt,Mecklenburg-Vorpommern,0
Französisch,Hauptschulen,Bereich unbekannt,Niedersachsen,0
Französisch,Hauptschulen,Bereich unbekannt,Nordrhein-Westfalen,0
Französisch,Hauptschulen,Bereich unbekannt,Rheinland-Pfalz,0
Französisch,Hauptschulen,Bereich unbekannt,Saarland,0
Französisch,Hauptschulen,Bereich unbekannt,Sachsen,0
Französisch,Hauptschulen,Bereich unbekannt,Sachsen-Anhalt,0
Französisch,Hauptschulen,Bereich unbekannt,Schleswig-Holstein,0
Französisch,Hauptschulen,Bereich unbekannt,Thüringen,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Baden-Württemberg,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Bayern,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Berlin,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Brandenburg,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Bremen,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Hamburg,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Hessen,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Mecklenburg-Vorpommern,226
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Niedersachsen,14
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Nordrhein-Westfalen,112
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Rheinland-Pfalz,38
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Saarland,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Sachsen,98
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Sachsen-Anhalt,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Schleswig-Holstein,0
Französisch,Schularten mit mehreren Bildungsgängen,5. Klassenstufe,Thüringen,3408
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Baden-Württemberg,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Bayern,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Berlin,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Brandenburg,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Bremen,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Hamburg,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Hessen,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Mecklenburg-Vorpommern,235
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Niedersachsen,4088
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Nordrhein-Westfalen,3043
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Rheinland-Pfalz,2132
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Saarland,59
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Sachsen,3520
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Sachsen-Anhalt,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Schleswig-Holstein,0
Französisch,Schularten mit mehreren Bildungsgängen,6. Klassenstufe,Thüringen,4047
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Baden-Württemberg,0
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Bayern,0
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Berlin,0
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Brandenburg,1729
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Bremen,0
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Hamburg,0
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Hessen,222
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Mecklenburg-Vorpommern,1108
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Niedersachsen,3469
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Nordrhein-Westfalen,1743
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Rheinland-Pfalz,2449
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Saarland,65
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Sachsen,2314
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Sachsen-Anhalt,1493
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Schleswig-Holstein,515
Französisch,Schularten mit mehreren Bildungsgängen,7. Klassenstufe,Thüringen,1586
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Baden-Württemberg,0
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Bayern,0
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Berlin,0
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Brandenburg,1765
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Bremen,3
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Hamburg,0
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Hessen,211
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Mecklenburg-Vorpommern,1100
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Niedersachsen,2937
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Nordrhein-Westfalen,1197
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Rheinland-Pfalz,2843
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Saarland,66
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Sachsen,2577
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Sachsen-Anhalt,1532
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Schleswig-Holstein,628
Französisch,Schularten mit mehreren Bildungsgängen,8. Klassenstufe,Thüringen,1577
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Baden-Württemberg,0
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Bayern,0
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Berlin,0
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Brandenburg,1858
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Bremen,20
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Hamburg,0
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Hessen,98
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Mecklenburg-Vorpommern,972
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Niedersachsen,2049
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Nordrhein-Westfalen,484
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Rheinland-Pfalz,2944
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Saarland,1436
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Sachsen,2592
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Sachsen-Anhalt,1624
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Schleswig-Holstein,607
Französisch,Schularten mit mehreren Bildungsgängen,9. Klassenstufe,Thüringen,1628
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Baden-Württemberg,0
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Bayern,0
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Berlin,0
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Brandenburg,1965
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Bremen,116
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Hamburg,0
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Hessen,36
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Mecklenburg-Vorpommern,955
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Niedersachsen,0
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Nordrhein-Westfalen,150
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Rheinland-Pfalz,2984
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Saarland,929
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Sachsen,2422
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Sachsen-Anhalt,1515
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Schleswig-Holstein,608
Französisch,Schularten mit mehreren Bildungsgängen,10. Klassenstufe,Thüringen,1673
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Baden-Württemberg,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Bayern,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Berlin,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Brandenburg,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Bremen,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Hamburg,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Hessen,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Mecklenburg-Vorpommern,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Niedersachsen,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Nordrhein-Westfalen,85
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Rheinland-Pfalz,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Saarland,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Sachsen,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Sachsen-Anhalt,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Schleswig-Holstein,0
Französisch,Schularten mit mehreren Bildungsgängen,Bereich unbekannt,Thüringen,0
Französisch,Realschulen,5. Klassenstufe,Baden-Württemberg,2501
Französisch,Realschulen,5. Klassenstufe,Bayern,77
Französisch,Realschulen,5. Klassenstufe,Berlin,0
Französisch,Realschulen,5. Klassenstufe,Brandenburg,0
Französisch,Realschulen,5. Klassenstufe,Bremen,0
Französisch,Realschulen,5. Klassenstufe,Hamburg,0
Französisch,Realschulen,5. Klassenstufe,Hessen,97
Französisch,Realschulen,5. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Realschulen,5. Klassenstufe,Niedersachsen,0
Französisch,Realschulen,5. Klassenstufe,Nordrhein-Westfalen,310
Französisch,Realschulen,5. Klassenstufe,Rheinland-Pfalz,0
Französisch,Realschulen,5. Klassenstufe,Saarland,96
Französisch,Realschulen,5. Klassenstufe,Sachsen,0
Französisch,Realschulen,5. Klassenstufe,Sachsen-Anhalt,0
Französisch,Realschulen,5. Klassenstufe,Schleswig-Holstein,0
Französisch,Realschulen,5. Klassenstufe,Thüringen,0
Französisch,Realschulen,6. Klassenstufe,Baden-Württemberg,2058
Französisch,Realschulen,6. Klassenstufe,Bayern,177
Französisch,Realschulen,6. Klassenstufe,Berlin,0
Französisch,Realschulen,6. Klassenstufe,Brandenburg,0
Französisch,Realschulen,6. Klassenstufe,Bremen,0
Französisch,Realschulen,6. Klassenstufe,Hamburg,0
Französisch,Realschulen,6. Klassenstufe,Hessen,9
Französisch,Realschulen,6. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Realschulen,6. Klassenstufe,Niedersachsen,3189
Französisch,Realschulen,6. Klassenstufe,Nordrhein-Westfalen,32211
Französisch,Realschulen,6. Klassenstufe,Rheinland-Pfalz,234
Französisch,Realschulen,6. Klassenstufe,Saarland,81
Französisch,Realschulen,6. Klassenstufe,Sachsen,0
Französisch,Realschulen,6. Klassenstufe,Sachsen-Anhalt,0
Französisch,Realschulen,6. Klassenstufe,Schleswig-Holstein,0
Französisch,Realschulen,6. Klassenstufe,Thüringen,0
Französisch,Realschulen,7. Klassenstufe,Baden-Württemberg,6599
Französisch,Realschulen,7. Klassenstufe,Bayern,7793
Französisch,Realschulen,7. Klassenstufe,Berlin,0
Französisch,Realschulen,7. Klassenstufe,Brandenburg,0
Französisch,Realschulen,7. Klassenstufe,Bremen,0
Französisch,Realschulen,7. Klassenstufe,Hamburg,0
Französisch,Realschulen,7. Klassenstufe,Hessen,3632
Französisch,Realschulen,7. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Realschulen,7. Klassenstufe,Niedersachsen,3320
Französisch,Realschulen,7. Klassenstufe,Nordrhein-Westfalen,9538
Französisch,Realschulen,7. Klassenstufe,Rheinland-Pfalz,220
Französisch,Realschulen,7. Klassenstufe,Saarland,217
Französisch,Realschulen,7. Klassenstufe,Sachsen,0
Französisch,Realschulen,7. Klassenstufe,Sachsen-Anhalt,0
Französisch,Realschulen,7. Klassenstufe,Schleswig-Holstein,0
Französisch,Realschulen,7. Klassenstufe,Thüringen,0
Französisch,Realschulen,8. Klassenstufe,Baden-Württemberg,6893
Französisch,Realschulen,8. Klassenstufe,Bayern,8504
Französisch,Realschulen,8. Klassenstufe,Berlin,0
Französisch,Realschulen,8. Klassenstufe,Brandenburg,0
Französisch,Realschulen,8. Klassenstufe,Bremen,0
Französisch,Realschulen,8. Klassenstufe,Hamburg,0
Französisch,Realschulen,8. Klassenstufe,Hessen,3677
Französisch,Realschulen,8. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Realschulen,8. Klassenstufe,Niedersachsen,3585
Französisch,Realschulen,8. Klassenstufe,Nordrhein-Westfalen,9869
Französisch,Realschulen,8. Klassenstufe,Rheinland-Pfalz,242
Französisch,Realschulen,8. Klassenstufe,Saarland,199
Französisch,Realschulen,8. Klassenstufe,Sachsen,0
Französisch,Realschulen,8. Klassenstufe,Sachsen-Anhalt,0
Französisch,Realschulen,8. Klassenstufe,Schleswig-Holstein,0
Französisch,Realschulen,8. Klassenstufe,Thüringen,0
Französisch,Realschulen,9. Klassenstufe,Baden-Württemberg,8553
Französisch,Realschulen,9. Klassenstufe,Bayern,10161
Französisch,Realschulen,9. Klassenstufe,Berlin,0
Französisch,Realschulen,9. Klassenstufe,Brandenburg,0
Französisch,Realschulen,9. Klassenstufe,Bremen,0
Französisch,Realschulen,9. Klassenstufe,Hamburg,0
Französisch,Realschulen,9. Klassenstufe,Hessen,3759
Französisch,Realschulen,9. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Realschulen,9. Klassenstufe,Niedersachsen,4251
Französisch,Realschulen,9. Klassenstufe,Nordrhein-Westfalen,12258
Französisch,Realschulen,9. Klassenstufe,Rheinland-Pfalz,233
Französisch,Realschulen,9. Klassenstufe,Saarland,243
Französisch,Realschulen,9. Klassenstufe,Sachsen,0
Französisch,Realschulen,9. Klassenstufe,Sachsen-Anhalt,0
Französisch,Realschulen,9. Klassenstufe,Schleswig-Holstein,0
Französisch,Realschulen,9. Klassenstufe,Thüringen,0
Französisch,Realschulen,10. Klassenstufe,Baden-Württemberg,9442
Französisch,Realschulen,10. Klassenstufe,Bayern,12805
Französisch,Realschulen,10. Klassenstufe,Berlin,0
Französisch,Realschulen,10. Klassenstufe,Brandenburg,0
Französisch,Realschulen,10. Klassenstufe,Bremen,0
Französisch,Realschulen,10. Klassenstufe,Hamburg,0
Französisch,Realschulen,10. Klassenstufe,Hessen,3721
Französisch,Realschulen,10. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Realschulen,10. Klassenstufe,Niedersachsen,6234
Französisch,Realschulen,10. Klassenstufe,Nordrhein-Westfalen,12145
Französisch,Realschulen,10. Klassenstufe,Rheinland-Pfalz,231
Französisch,Realschulen,10. Klassenstufe,Saarland,202
Französisch,Realschulen,10. Klassenstufe,Sachsen,0
Französisch,Realschulen,10. Klassenstufe,Sachsen-Anhalt,0
Französisch,Realschulen,10. Klassenstufe,Schleswig-Holstein,13
Französisch,Realschulen,10. Klassenstufe,Thüringen,0
Französisch,Realschulen,Bereich unbekannt,Baden-Württemberg,1672
Französisch,Realschulen,Bereich unbekannt,Bayern,0
Französisch,Realschulen,Bereich unbekannt,Berlin,0
Französisch,Realschulen,Bereich unbekannt,Brandenburg,0
Französisch,Realschulen,Bereich unbekannt,Bremen,0
Französisch,Realschulen,Bereich unbekannt,Hamburg,0
Französisch,Realschulen,Bereich unbekannt,Hessen,0
Französisch,Realschulen,Bereich unbekannt,Mecklenburg-Vorpommern,0
Französisch,Realschulen,Bereich unbekannt,Niedersachsen,0
Französisch,Realschulen,Bereich unbekannt,Nordrhein-Westfalen,1231
Französisch,Realschulen,Bereich unbekannt,Rheinland-Pfalz,0
Französisch,Realschulen,Bereich unbekannt,Saarland,0
Französisch,Realschulen,Bereich unbekannt,Sachsen,0
Französisch,Realschulen,Bereich unbekannt,Sachsen-Anhalt,0
Französisch,Realschulen,Bereich unbekannt,Schleswig-Holstein,0
Französisch,Realschulen,Bereich unbekannt,Thüringen,0
Französisch,Gymnasien (G8),5. Klassenstufe,Baden-Württemberg,2477
Französisch,Gymnasien (G8),5. Klassenstufe,Bayern,287
Französisch,Gymnasien (G8),5. Klassenstufe,Berlin,216
Französisch,Gymnasien (G8),5. Klassenstufe,Brandenburg,30
Französisch,Gymnasien (G8),5. Klassenstufe,Bremen,59
Französisch,Gymnasien (G8),5. Klassenstufe,Hamburg,50
Französisch,Gymnasien (G8),5. Klassenstufe,Hessen,732
Französisch,Gymnasien (G8),5. Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Gymnasien (G8),5. Klassenstufe,Niedersachsen,393
Französisch,Gymnasien (G8),5. Klassenstufe,Nordrhein-Westfalen,1364
Französisch,Gymnasien (G8),5. Klassenstufe,Rheinland-Pfalz,92
Französisch,Gymnasien (G8),5. Klassenstufe,Saarland,1803
Französisch,Gymnasien (G8),5. Klassenstufe,Sachsen,404
Französisch,Gymnasien (G8),5. Klassenstufe,Sachsen-Anhalt,117
Französisch,Gymnasien (G8),5. Klassenstufe,Schleswig-Holstein,105
Französisch,Gymnasien (G8),5. Klassenstufe,Thüringen,2100
Französisch,Gymnasien (G8),6. Klassenstufe,Baden-Württemberg,24947
Französisch,Gymnasien (G8),6. Klassenstufe,Bayern,18554
Französisch,Gymnasien (G8),6. Klassenstufe,Berlin,490
Französisch,Gymnasien (G8),6. Klassenstufe,Brandenburg,211
Französisch,Gymnasien (G8),6. Klassenstufe,Bremen,384
Französisch,Gymnasien (G8),6. Klassenstufe,Hamburg,2686
Französisch,Gymnasien (G8),6. Klassenstufe,Hessen,3777
Französisch,Gymnasien (G8),6. Klassenstufe,Mecklenburg-Vorpommern,44
Französisch,Gymnasien (G8),6. Klassenstufe,Niedersachsen,13674
Französisch,Gymnasien (G8),6. Klassenstufe,Nordrhein-Westfalen,38040
Französisch,Gymnasien (G8),6. Klassenstufe,Rheinland-Pfalz,916
Französisch,Gymnasien (G8),6. Klassenstufe,Saarland,2985
Französisch,Gymnasien (G8),6. Klassenstufe,Sachsen,6252
Französisch,Gymnasien (G8),6. Klassenstufe,Sachsen-Anhalt,227
Französisch,Gymnasien (G8),6. Klassenstufe,Schleswig-Holstein,4170
Französisch,Gymnasien (G8),6. Klassenstufe,Thüringen,3320
Französisch,Gymnasien (G8),7. Klassenstufe,Baden-Württemberg,25041
Französisch,Gymnasien (G8),7. Klassenstufe,Bayern,18078
Französisch,Gymnasien (G8),7. Klassenstufe,Berlin,6710
Französisch,Gymnasien (G8),7. Klassenstufe,Brandenburg,4355
Französisch,Gymnasien (G8),7. Klassenstufe,Bremen,528
Französisch,Gymnasien (G8),7. Klassenstufe,Hamburg,2348
Französisch,Gymnasien (G8),7. Klassenstufe,Hessen,6002
Französisch,Gymnasien (G8),7. Klassenstufe,Mecklenburg-Vorpommern,2637
Französisch,Gymnasien (G8),7. Klassenstufe,Niedersachsen,13222
Französisch,Gymnasien (G8),7. Klassenstufe,Nordrhein-Westfalen,39162
Französisch,Gymnasien (G8),7. Klassenstufe,Rheinland-Pfalz,970
Französisch,Gymnasien (G8),7. Klassenstufe,Saarland,3111
Französisch,Gymnasien (G8),7. Klassenstufe,Sachsen,6184
Französisch,Gymnasien (G8),7. Klassenstufe,Sachsen-Anhalt,3383
Französisch,Gymnasien (G8),7. Klassenstufe,Schleswig-Holstein,4346
Französisch,Gymnasien (G8),7. Klassenstufe,Thüringen,3352
Französisch,Gymnasien (G8),8. Klassenstufe,Baden-Württemberg,26776
Französisch,Gymnasien (G8),8. Klassenstufe,Bayern,21948
Französisch,Gymnasien (G8),8. Klassenstufe,Berlin,7016
Französisch,Gymnasien (G8),8. Klassenstufe,Brandenburg,4380
Französisch,Gymnasien (G8),8. Klassenstufe,Bremen,609
Französisch,Gymnasien (G8),8. Klassenstufe,Hamburg,2653
Französisch,Gymnasien (G8),8. Klassenstufe,Hessen,9322
Französisch,Gymnasien (G8),8. Klassenstufe,Mecklenburg-Vorpommern,2519
Französisch,Gymnasien (G8),8. Klassenstufe,Niedersachsen,13622
Französisch,Gymnasien (G8),8. Klassenstufe,Nordrhein-Westfalen,40867
Französisch,Gymnasien (G8),8. Klassenstufe,Rheinland-Pfalz,1035
Französisch,Gymnasien (G8),8. Klassenstufe,Saarland,3083
Französisch,Gymnasien (G8),8. Klassenstufe,Sachsen,6122
Französisch,Gymnasien (G8),8. Klassenstufe,Sachsen-Anhalt,3621
Französisch,Gymnasien (G8),8. Klassenstufe,Schleswig-Holstein,4665
Französisch,Gymnasien (G8),8. Klassenstufe,Thüringen,3391
Französisch,Gymnasien (G8),9. Klassenstufe,Baden-Württemberg,28238
Französisch,Gymnasien (G8),9. Klassenstufe,Bayern,22137
Französisch,Gymnasien (G8),9. Klassenstufe,Berlin,6856
Französisch,Gymnasien (G8),9. Klassenstufe,Brandenburg,4712
Französisch,Gymnasien (G8),9. Klassenstufe,Bremen,667
Französisch,Gymnasien (G8),9. Klassenstufe,Hamburg,2678
Französisch,Gymnasien (G8),9. Klassenstufe,Hessen,9970
Französisch,Gymnasien (G8),9. Klassenstufe,Mecklenburg-Vorpommern,2672
Französisch,Gymnasien (G8),9. Klassenstufe,Niedersachsen,13667
Französisch,Gymnasien (G8),9. Klassenstufe,Nordrhein-Westfalen,38677
Französisch,Gymnasien (G8),9. Klassenstufe,Rheinland-Pfalz,1088
Französisch,Gymnasien (G8),9. Klassenstufe,Saarland,2877
Französisch,Gymnasien (G8),9. Klassenstufe,Sachsen,6100
Französisch,Gymnasien (G8),9. Klassenstufe,Sachsen-Anhalt,3452
Französisch,Gymnasien (G8),9. Klassenstufe,Schleswig-Holstein,4871
Französisch,Gymnasien (G8),9. Klassenstufe,Thüringen,3440
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Baden-Württemberg,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Bayern,5
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Berlin,283
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Brandenburg,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Bremen,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Hamburg,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Hessen,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Mecklenburg-Vorpommern,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Niedersachsen,6
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Nordrhein-Westfalen,3926
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Rheinland-Pfalz,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Saarland,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Sachsen,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Sachsen-Anhalt,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Schleswig-Holstein,0
Französisch,Gymnasien (G8),Sekundarstufe 1 - ohne Klassenstufe,Thüringen,0
Französisch,Gymnasien (G8),Eingangsphase E,Baden-Württemberg,28225
Französisch,Gymnasien (G8),Eingangsphase E,Bayern,22609
Französisch,Gymnasien (G8),Eingangsphase E,Berlin,6995
Französisch,Gymnasien (G8),Eingangsphase E,Brandenburg,4957
Französisch,Gymnasien (G8),Eingangsphase E,Bremen,263
Französisch,Gymnasien (G8),Eingangsphase E,Hamburg,2701
Französisch,Gymnasien (G8),Eingangsphase E,Hessen,0
Französisch,Gymnasien (G8),Eingangsphase E,Mecklenburg-Vorpommern,2550
Französisch,Gymnasien (G8),Eingangsphase E,Niedersachsen,14369
Französisch,Gymnasien (G8),Eingangsphase E,Nordrhein-Westfalen,15707
Französisch,Gymnasien (G8),Eingangsphase E,Rheinland-Pfalz,840
