Jahrgangsstufe,Schulart,Geschlecht,bundesland,anzahl
Klassenstufe 1,Grundschulen,weiblich,Hessen,25604
Klassenstufe 1,Grundschulen,weiblich,Mecklenburg-Vorpommern,6950
Klassenstufe 1,Grundschulen,weiblich,Niedersachsen,33054
Klassenstufe 1,Grundschulen,weiblich,Nordrhein-Westfalen,73096
Klassenstufe 1,Grundschulen,weiblich,Rheinland-Pfalz,16067
Klassenstufe 1,Grundschulen,weiblich,Saarland,3679
Klassenstufe 1,Grundschulen,weiblich,Sachsen,16464
Klassenstufe 1,Grundschulen,weiblich,Sachsen-Anhalt,8569
Klassenstufe 1,Grundschulen,weiblich,Schleswig-Holstein,12157
Klassenstufe 1,Grundschulen,weiblich,Thüringen,8193
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Baden-Württemberg,5509
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Bayern,0
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Berlin,1029
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Brandenburg,44
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Bremen,0
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Hamburg,557
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Hessen,457
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Mecklenburg-Vorpommern,0
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Niedersachsen,125
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Nordrhein-Westfalen,140
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Rheinland-Pfalz,0
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Saarland,0
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Sachsen,0
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Sachsen-Anhalt,0
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Schleswig-Holstein,0
Klassenstufe 1,Integrierte Gesamtschulen,männlich,Thüringen,478
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Baden-Württemberg,5357
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Bayern,0
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Berlin,997
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Brandenburg,34
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Bremen,0
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Hamburg,525
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Hessen,425
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Mecklenburg-Vorpommern,0
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Niedersachsen,129
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Nordrhein-Westfalen,132
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Rheinland-Pfalz,0
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Saarland,0
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Sachsen,0
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Sachsen-Anhalt,0
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Schleswig-Holstein,0
Klassenstufe 1,Integrierte Gesamtschulen,weiblich,Thüringen,462
Klassenstufe 1,Freie Waldorfschulen,männlich,Baden-Württemberg,846
Klassenstufe 1,Freie Waldorfschulen,männlich,Bayern,340
Klassenstufe 1,Freie Waldorfschulen,männlich,Berlin,185
Klassenstufe 1,Freie Waldorfschulen,männlich,Brandenburg,76
Klassenstufe 1,Freie Waldorfschulen,männlich,Bremen,43
Klassenstufe 1,Freie Waldorfschulen,männlich,Hamburg,123
Klassenstufe 1,Freie Waldorfschulen,männlich,Hessen,182
Klassenstufe 1,Freie Waldorfschulen,männlich,Mecklenburg-Vorpommern,38
Klassenstufe 1,Freie Waldorfschulen,männlich,Niedersachsen,274
Klassenstufe 1,Freie Waldorfschulen,männlich,Nordrhein-Westfalen,598
Klassenstufe 1,Freie Waldorfschulen,männlich,Rheinland-Pfalz,108
Klassenstufe 1,Freie Waldorfschulen,männlich,Saarland,50
Klassenstufe 1,Freie Waldorfschulen,männlich,Sachsen,104
Klassenstufe 1,Freie Waldorfschulen,männlich,Sachsen-Anhalt,43
Klassenstufe 1,Freie Waldorfschulen,männlich,Schleswig-Holstein,198
Klassenstufe 1,Freie Waldorfschulen,männlich,Thüringen,54
Klassenstufe 1,Freie Waldorfschulen,weiblich,Baden-Württemberg,831
Klassenstufe 1,Freie Waldorfschulen,weiblich,Bayern,287
Klassenstufe 1,Freie Waldorfschulen,weiblich,Berlin,197
Klassenstufe 1,Freie Waldorfschulen,weiblich,Brandenburg,82
Klassenstufe 1,Freie Waldorfschulen,weiblich,Bremen,34
Klassenstufe 1,Freie Waldorfschulen,weiblich,Hamburg,151
Klassenstufe 1,Freie Waldorfschulen,weiblich,Hessen,164
Klassenstufe 1,Freie Waldorfschulen,weiblich,Mecklenburg-Vorpommern,39
Klassenstufe 1,Freie Waldorfschulen,weiblich,Niedersachsen,290
Klassenstufe 1,Freie Waldorfschulen,weiblich,Nordrhein-Westfalen,647
Klassenstufe 1,Freie Waldorfschulen,weiblich,Rheinland-Pfalz,89
Klassenstufe 1,Freie Waldorfschulen,weiblich,Saarland,48
Klassenstufe 1,Freie Waldorfschulen,weiblich,Sachsen,113
Klassenstufe 1,Freie Waldorfschulen,weiblich,Sachsen-Anhalt,36
Klassenstufe 1,Freie Waldorfschulen,weiblich,Schleswig-Holstein,195
Klassenstufe 1,Freie Waldorfschulen,weiblich,Thüringen,64
Klassenstufe 1,Förderschulen,männlich,Baden-Württemberg,3141
Klassenstufe 1,Förderschulen,männlich,Bayern,4889
Klassenstufe 1,Förderschulen,männlich,Berlin,292
Klassenstufe 1,Förderschulen,männlich,Brandenburg,160
Klassenstufe 1,Förderschulen,männlich,Bremen,21
Klassenstufe 1,Förderschulen,männlich,Hamburg,174
Klassenstufe 1,Förderschulen,männlich,Hessen,767
Klassenstufe 1,Förderschulen,männlich,Mecklenburg-Vorpommern,152
Klassenstufe 1,Förderschulen,männlich,Niedersachsen,834
Klassenstufe 1,Förderschulen,männlich,Nordrhein-Westfalen,2577
Klassenstufe 1,Förderschulen,männlich,Rheinland-Pfalz,568
Klassenstufe 1,Förderschulen,männlich,Saarland,78
Klassenstufe 1,Förderschulen,männlich,Sachsen,782
Klassenstufe 1,Förderschulen,männlich,Sachsen-Anhalt,193
Klassenstufe 1,Förderschulen,männlich,Schleswig-Holstein,79
Klassenstufe 1,Förderschulen,männlich,Thüringen,74
Klassenstufe 1,Förderschulen,weiblich,Baden-Württemberg,1445
Klassenstufe 1,Förderschulen,weiblich,Bayern,2525
Klassenstufe 1,Förderschulen,weiblich,Berlin,141
Klassenstufe 1,Förderschulen,weiblich,Brandenburg,87
Klassenstufe 1,Förderschulen,weiblich,Bremen,20
Klassenstufe 1,Förderschulen,weiblich,Hamburg,68
Klassenstufe 1,Förderschulen,weiblich,Hessen,351
Klassenstufe 1,Förderschulen,weiblich,Mecklenburg-Vorpommern,64
Klassenstufe 1,Förderschulen,weiblich,Niedersachsen,379
Klassenstufe 1,Förderschulen,weiblich,Nordrhein-Westfalen,1080
Klassenstufe 1,Förderschulen,weiblich,Rheinland-Pfalz,280
Klassenstufe 1,Förderschulen,weiblich,Saarland,37
Klassenstufe 1,Förderschulen,weiblich,Sachsen,418
Klassenstufe 1,Förderschulen,weiblich,Sachsen-Anhalt,84
Klassenstufe 1,Förderschulen,weiblich,Schleswig-Holstein,33
Klassenstufe 1,Förderschulen,weiblich,Thüringen,39
Klassenstufe 2,Grundschulen,männlich,Baden-Württemberg,41556
Klassenstufe 2,Grundschulen,männlich,Bayern,54820
Klassenstufe 2,Grundschulen,männlich,Berlin,13664
Klassenstufe 2,Grundschulen,männlich,Brandenburg,10682
Klassenstufe 2,Grundschulen,männlich,Bremen,2721
Klassenstufe 2,Grundschulen,männlich,Hamburg,7244
Klassenstufe 2,Grundschulen,männlich,Hessen,27331
Klassenstufe 2,Grundschulen,männlich,Mecklenburg-Vorpommern,6760
Klassenstufe 2,Grundschulen,männlich,Niedersachsen,36309
Klassenstufe 2,Grundschulen,männlich,Nordrhein-Westfalen,84494
Klassenstufe 2,Grundschulen,männlich,Rheinland-Pfalz,17943
Klassenstufe 2,Grundschulen,männlich,Saarland,3895
Klassenstufe 2,Grundschulen,männlich,Sachsen,17052
Klassenstufe 2,Grundschulen,männlich,Sachsen-Anhalt,10247
Klassenstufe 2,Grundschulen,männlich,Schleswig-Holstein,13813
Klassenstufe 2,Grundschulen,männlich,Thüringen,9159
Klassenstufe 2,Grundschulen,weiblich,Baden-Württemberg,41037
Klassenstufe 2,Grundschulen,weiblich,Bayern,53854
Klassenstufe 2,Grundschulen,weiblich,Berlin,12712
Klassenstufe 2,Grundschulen,weiblich,Brandenburg,10613
Klassenstufe 2,Grundschulen,weiblich,Bremen,2680
Klassenstufe 2,Grundschulen,weiblich,Hamburg,6892
Klassenstufe 2,Grundschulen,weiblich,Hessen,26016
Klassenstufe 2,Grundschulen,weiblich,Mecklenburg-Vorpommern,6563
Klassenstufe 2,Grundschulen,weiblich,Niedersachsen,34661
Klassenstufe 2,Grundschulen,weiblich,Nordrhein-Westfalen,81331
Klassenstufe 2,Grundschulen,weiblich,Rheinland-Pfalz,16814
Klassenstufe 2,Grundschulen,weiblich,Saarland,3683
Klassenstufe 2,Grundschulen,weiblich,Sachsen,16502
Klassenstufe 2,Grundschulen,weiblich,Sachsen-Anhalt,9669
Klassenstufe 2,Grundschulen,weiblich,Schleswig-Holstein,12975
Klassenstufe 2,Grundschulen,weiblich,Thüringen,8618
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Baden-Württemberg,5819
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Bayern,0
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Berlin,648
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Brandenburg,29
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Bremen,0
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Hamburg,548
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Hessen,464
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Mecklenburg-Vorpommern,0
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Niedersachsen,137
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Nordrhein-Westfalen,193
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Rheinland-Pfalz,0
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Saarland,0
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Sachsen,0
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Sachsen-Anhalt,0
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Schleswig-Holstein,0
Klassenstufe 2,Integrierte Gesamtschulen,männlich,Thüringen,527
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Baden-Württemberg,5655
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Bayern,0
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Berlin,668
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Brandenburg,40
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Bremen,0
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Hamburg,549
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Hessen,445
Klassenstufe 2,Integrierte Gesamtschulen,weiblich,Mecklenburg-Vorpommern,0
