"name","id","official_id","address","school_type","school_type_entity","fax","state","phone","full_time_school","lon","lat"
"Märkerwaldschule","HE-3384-0","3384","Hambacher Straße 23, 64625 Bensheim","Grundschule","Grundschule","06251/570284","HE","06251/39307",false,8.67367,49.681568
"Lindenhofschule","HE-3385-0","3385","Beinstraße 22, 68649 Groß-Rohrheim","Grundschule","Grundschule","06245/297471","HE","06245/8846",false,8.469636,49.716077
"Christophorus-Schule","HE-3386-0","3386","Hambacher Tal 122, 64646 Heppenheim (Bergstraße)","Grundschule","Grundschule","06252/670840","HE","06252/75910",false,8.650677,49.655333
"Schloßschule","HE-3388-0","3388","Schulgasse 1, 64646 Heppenheim (Bergstraße)","Grundschule","Grundschule","06252/126384","HE","06252/4353",false,8.643905,49.641619
"Konrad-Adenauer-Schule","HE-3389-0","3389","Mainzer Straße 8, 64646 Heppenheim (Bergstraße)","Grundschule","Grundschule","06252/982038","HE","06252/71795",false,8.627197,49.634782
"Nibelungenschule","HE-3390-0","3390","Nibelungenstraße 12, 64646 Heppenheim (Bergstraße)","Grundschule","Grundschule","06252/788702","HE","06252/4352",false,8.644375,49.640763888889
"Neckartalschule Hirschhorn","HE-3391-0","3391","Brentanostraße 2, 69434 Hirschhorn (Necker)","Grundschule","Grundschule","06272/929604","HE","06272/590",false,8.903406,49.448619
"Gansbachtalschule Lixfeld","HE-3393-0","3393","Winkelstraße 14, 35719 Angelburg","Grundschule","Grundschule","06464/912683","HE","06464/219",false,8.422441,50.804589
"Grundschule am Lindenbaum Bottenhorn","HE-3397-0","3397","Bilzenweg 2, 35080 Bad Endbach","Grundschule","Grundschule","06464/911436","HE","06464/5315",false,8.478578,50.795157
"Endenbergschule Breidenstein","HE-3399-0","3399","Obere Haide 15, 35216 Biedenkopf","Grundschule","Grundschule","06461/983678","HE","06461/89162",false,8.464337,50.915063
"Mittelpunktschule Buchenau","HE-3400-0","3400","Vor der Hardt 2a, 35232 Dautphetal","Grundschule","Grundschule","06466/91094","HE","06466/91093",false,8.601392,50.876568
"Berglandschule Bad Endbach","HE-3401-0","3401","Sebastian-Kneipp-Straße 4, 35080 Bad Endbach","Grundschule","Grundschule","02776/913733","HE","02776/913731",false,8.490771,50.75262
"Mittelpunktschule Dautphetal","HE-3403-0","3403","Lahnstraße 11, 35232 Dautphetal","Grundschule","Grundschule","06466/914530","HE","06466/91450",false,8.55,50.85833
"Mittelpunktschule Dautphetal","HE-3403-1","3403","Lahnstraße 11, 35232 Dautphetal","Hauptschule mit Förderstufe","Hauptschule","06466/914530","HE","06466/91450",false,8.55,50.85833
"Mittelpunktschule Dautphetal","HE-3403-2","3403","Lahnstraße 11, 35232 Dautphetal","Realschule","Realschule","06466/914530","HE","06466/91450",false,8.55,50.85833
"Grundschule Gönnern","HE-3405-0","3405","Schulstraße 12, 35719 Angelburg","Grundschule","Grundschule","06464/911168","HE","06464/5272",false,8.43333,50.81667
"Mittelpunktschule Hartenrod","HE-3407-0","3407","Am Loh 12, 35080 Bad Endbach","Grundschule","Grundschule","02776/911310","HE","02776/204",false,8.46588,50.758778
"Mittelpunktschule Hartenrod","HE-3407-1","3407","Am Loh 12, 35080 Bad Endbach","Hauptschule mit Förderstufe","Hauptschule","02776/911310","HE","02776/204",false,8.46588,50.758778
"Mittelpunktschule Hartenrod","HE-3407-2","3407","Am Loh 12, 35080 Bad Endbach","Realschule","Realschule","02776/911310","HE","02776/204",false,8.46588,50.758778
"Grundschule Holzhausen","HE-3408-0","3408","Schulstraße 4-6, 35232 Dautphetal","Grundschule","Grundschule","06468/912235","HE","06468/338",false,8.55,50.85833
