address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Max-Eyth-Platz 3-4, 27568 Bremerhaven",0471/391-3559,false,HB-382,53.548575,8.576784,Kaufmännische Lehranstalten,382,0471/391-3530,Berufsbildende Schule,Berufsbildende Schule,HB
"Walter-Kolb-Weg 2, 27568 Bremerhaven",0471/3000123,false,HB-383,53.557323,8.572632,Schulzentrum Geschwister Scholl,383,0471/3000120,Berufsbildende Schule,Berufsbildende Schule,HB
"Hinrich-Schmalfeldt-Str. 26, 27576 Bremerhaven",0471/501-0557,false,HB-384,53.558712,8.589526,Werkstattschule Bremerhaven,384,0471/958-4430,Berufsbildende Schule,Berufsbildende Schule,HB
"Georg-Büchner-Str. 7, 27574 Bremerhaven",0471/39198-256,false,HB-385,53.531824,8.612887,Schulzentrum Carl von Ossietzky,385,0471/39198-101,Berufsbildende Schule,Berufsbildende Schule,HB
"Georg-Büchner-Str. 13, 27574 Bremerhaven",0471/309-44522,false,HB-386,53.533424,8.612722,Schulzentrum Carl von Ossietzky,386,0471/309-46510,Berufsbildende Schule,Berufsbildende Schule,HB
"Helsinkistr. 10, 28719 Bremen",0421/361-79071,true,HB-403,53.173002,8.722547,Oberschule an der Helsinkistraße,403,0421/361-79070,Oberschule,Oberschule,HB
"Drebberstr. 10, 28309 Bremen",0421/361-59548,true,HB-404,53.040673,8.898694,Wilhelm-Olbers-Oberschule,404,0421/361-59539,Oberschule,Oberschule,HB
"Koblenzer Str. 15, 28325 Bremen",0421/361-15463,true,HB-409,53.062291,8.960328,Oberschule an der Koblenzer Straße,409,0421/361-3029,Oberschule,Oberschule,HB
"Lerchenstr. 86, 28755 Bremen",0421/361-79262,false,HB-410,53.191413,8.6279,Oberschule an der Lerchenstraße,410,0421/361-79263,Oberschule,Oberschule,HB
"Butjadinger Str. 21, 28197 Bremen",0421/361-96812,true,HB-412,53.081083,8.759567,Oberschule Roter Sand,412,0421/361-96800,Oberschule,Oberschule,HB
"Lehmhorster Str. 5, 28779 Bremen",0421/361-79362,true,HB-414,53.196906,8.5701,Oberschule an der Lehmhorster Straße,414,0421/361-79352,Oberschule,Oberschule,HB
"Uppe Angst 31, 28355 Bremen",0421/361-16637,false,HB-416,53.097098,8.899798,Oberschule Rockwinkel,416,0421/361-16627,Oberschule,Oberschule,HB
"Schaumburger Str. 49 A, 28205 Bremen",0421/361-96886,false,HB-417,53.073476,8.846135,Oberschule an der Schaumburger Straße,417,0421/361-96880,Oberschule,Oberschule,HB
"Ronzelenstr. 51, 28359 Bremen",0421/361-15161,true,HB-418,53.095236,8.875806,Oberschule an der Ronzelenstraße,418,0421/361-3144,Oberschule,Oberschule,HB
"Bunnsackerweg 2, 28279 Bremen",0421/361-15226,false,HB-423,53.045442,8.860104,Oberschule Habenhausen,423,0421/361-3454,Oberschule,Oberschule,HB
"Helgolander Str. 67, 28217 Bremen",0421/361-17036,true,HB-424,53.098944,8.784648,Oberschule an der Helgolander Straße,424,0421/361-17030,Oberschule,Oberschule,HB
"Konrad-Adenauer-Allee 86, 28329 Bremen",0421/361-16037,true,HB-425,53.076147,8.86729,Oberschule an der Julius-Brecht-Allee,425,0421/361-16027,Oberschule,Oberschule,HB
"Gothaer Str. 60, 28215 Bremen",0421/361-96923,true,HB-428,53.097532,8.803964,Oberschule Findorff,428,0421/361-96910,Oberschule,Oberschule,HB
"Parsevalstr. 1, 28309 Bremen",0421/361-59205,true,HB-429,53.067796,8.885846,Oberschule Sebaldsbrück,429,0421/361-3394,Oberschule,Oberschule,HB
"Bremerhavener Str. 83, 28219 Bremen",0421/361-59610,false,HB-430,53.099159,8.778756,Oberschule am Waller Ring,430,0421/361-5630,Oberschule,Oberschule,HB
"Flämische Str. 9, 28259 Bremen",0421/361-15132,true,HB-431,53.052977,8.713438,Roland zu Bremen Oberschule,431,0421/361-15971,Oberschule,Oberschule,HB
"Valckenburghstr. 1-3, 28201 Bremen",0421/361-59333,true,HB-436,53.051605,8.815193,Wilhelm-Kaisen-Oberschule,436,0421/361-59330,Oberschule,Oberschule,HB
"Kolk 2, 28327 Bremen",0421/null,true,HB-438,53.061103,8.928456,Albert-Einstein-Oberschule,438,0421/361-18395,Oberschule,Oberschule,HB
"Am Oslebshauser Park 1-3, 28239 Bremen",0421/361-9131,true,HB-440,53.130886,8.739102,Oberschule im Park,440,0421/361-9265,Oberschule,Oberschule,HB
"Parkallee 39, 28209 Bremen",0421/496-15587,false,HB-441,53.082508,8.822714,Oberschule Am Barkhof,441,0421/361-15587,Oberschule,Oberschule,HB
"Halmerweg 71, 28237 Bremen",0421/361-94232,false,HB-442,53.122323,8.763879,Oberschule Ohlenhof,442,0421/361-94246,Oberschule,Oberschule,HB
"Eggestedter Str. 20, 28779 Bremen",0421/361-79150,false,HB-443,53.190144,8.566084,Oberschule an der Egge,443,0421/361-79154,Oberschule,Oberschule,HB
"Ernst-Waldau-Str. 1 A, 28239 Bremen",0421/361-18434,true,HB-444,53.128145,8.753226,Neue Oberschule Gröpelingen,444,0421/361-18319,Oberschule,Oberschule,HB
"Kurt-Schumacher-Allee 65, 28327 Bremen",0421/361-59856,true,HB-445,53.078857,8.893096,Oberschule an der Kurt-Schumacher-Allee,445,0421/361-5650,Oberschule,Oberschule,HB
"Schillerstr. 87, 27570 Bremerhaven",0471/391-3799,false,HB-451,53.527616,8.597035,Humboldtschule,451,0471/391-3770,Oberschule,Oberschule,HB
