address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"P.-Picasso-Straße 43, 18147 Rostock",0381/6664536,false,MV-75330391,54.141544,12.11541,"""Baltic-Schule"" Toitenwinkel
Integrierte Gesamtschule mit Regionaler Schule im Aufbau",75330391,0381/697092,Integrierte Gesamtschule mit Regionaler Schule im Aufbau,Integrierte Gesamtschule,MV
"Mendelejewstraße 12a, 18059 Rostock",0381/40480014,false,MV-75330392,54.073195,12.127455,"Gesamtschule Südstadt, Kooperative Gesamtschule",75330392,0381/4048000,Kooperative Gesamtschule,Kooperative Gesamtschule,MV
"Lindenstraße 3a, 18055 Rostock",0381/38141091,false,MV-75330393,54.084472,12.14282,"Jenaplanschule Rostock, Integrierte Gesamtschule mit Grundschule",75330393,0381/2007523,Integrierte Gesamtschule mit Grundschule,Integrierte Gesamtschule,MV
"H.-Schütz-Straße 10a, 18069 Rostock",0381/8002374,false,MV-75430337,54.092933,12.08909,"Regionale Schule ""Heinrich-Schütz"", Rostock",75430337,0381/83910,Regionale Schule,Regionale Schule,MV
"Taklerring 43, 18109 Rostock",0381/1215933,false,MV-75430348,54.150888,12.078643,"Regionale Schule ""Störtebeker-Schule"", Rostock",75430348,0381/1200928,Regionale Schule,Regionale Schule,MV
"Ratzeburger Straße 9, 18109 Rostock",0381/2074355,false,MV-75430353,54.147203,12.059031,"Regionale Schule ""Nordlicht-Schule"", Rostock",75430353,0381/711066,Regionale Schule,Regionale Schule,MV
"B.-von-Suttner-Ring 1 a, 18147 Rostock",0381/6095040,false,MV-75430355,54.110939,12.140801,"Regionale Schule ""Otto-Lilienthal-Schule"", Rostock",75430355,0381/609500,Regionale Schule,Regionale Schule,MV
"St.-Jantzen-Ring 6, 18106 Rostock",0381/1214286,false,MV-75430376,54.132623,12.070225,"Krusensternschule Rostock, Regionale Schule",75430376,0381/1214284,Regionale Schule,Regionale Schule,MV
"Kopenhagener Straße 3, 18107 Rostock",0381/7998754,false,MV-75530359,54.133566,12.050251,Erasmus-Gymnasium Rostock,75530359,0381/7998821,Gymnasium,Gymnasium,MV
"Mathias-Thesen-Straße 17, 18069 Rostock",0381/8087473,false,MV-75530363,54.101534,12.067086,Gymnasium Reutershagen,75530363,0381/82060,Gymnasium,Gymnasium,MV
"Goetheplatz 5, 18055 Rostock",0381/38141013,false,MV-75530365,54.081372,12.128044,Innerstädtisches Gymnasium Rostock,75530365,0381/38141010,Gymnasium,Gymnasium,MV
"Heinrich-Tessenow-Straße 47, 18146 Rostock",0381/6095139,false,MV-75530369,54.103579,12.162926,Käthe-Kollwitz-Gymnasium Rostock,75530369,0381/609510,Gymnasium,Gymnasium,MV
"Goetheplatz 5, 18055 Rostock",0381/38141023,false,MV-75530390,54.081372,12.128044,Abendgymnasium Rostock,75530390,0381/38141020,Abendgymnasium,Abend-Gymnasium,MV
"Beethovenstraße 3, 18209 Bad Doberan",038203/742299,false,MV-75135101,54.107066,11.903678,Lessing-Grundschule Bad Doberan,75135101,038203/742290,Grundschule,Grundschule,MV
"Stralsunder Straße 58, 18182 Bentwisch",0381/66673884,false,MV-75135102,54.114136,12.202387,Grundschule Bentwisch,75135102,0381/66673855,Grundschule,Grundschule,MV
"Am Feldrain 16, 18196 Dummerstorf",038208/82548,false,MV-75135105,54.014684,12.232728,Grundschule Dummerstorf,75135105,038208/280,Grundschule,Grundschule,MV
"Ostseering 24, 18181 Graal-Müritz",038206/78192,false,MV-75135107,54.25094,12.246359,"""Ostsee-Grundschule""  Graal-Müritz",75135107,038206/77288,Grundschule,Grundschule,MV
"Schulstraße 1, 18236 Kröpelin",038292/79847,false,MV-75135109,54.067727,11.798977,"Grundschule ""Am Mühlenberg"" Kröpelin",75135109,038292/79846,Grundschule,Grundschule,MV
"Hermannstraße 9, 18225 Kühlungsborn",038293/877295,false,MV-75135111,54.14874,11.732012,"Grundschule ""Fritz Reuter"" Kühlungsborn",75135111,038293/7767,Grundschule,Grundschule,MV
"Panzower Weg 23a, 18233 Neubukow",038294/16559,false,MV-75135113,54.027075,11.670037,"Grundschule ""Am Hellbach"", Neubukow",75135113,038294/78422,Grundschule,Grundschule,MV
"Schulstraße 6, 18182 Rövershagen",038202/44577,false,MV-75135114,54.175945,12.243587,"Grundschule "" De Likedeeler"", Rövershagen",75135114,038202/2096,Grundschule,Grundschule,MV
"Dorfstraße 40, 18107 Lichtenhagen",0381/7955281,false,MV-75135116,54.141924,12.032374,Grundschule Lichtenhagen-Dorf,75135116,0381/717125,Grundschule,Grundschule,MV
"Groß Lüsewitzer Weg 5, 18190 Sanitz",038209/875028,false,MV-75135117,54.07182,12.369378,Grundschule Sanitz,75135117,038209/290,Grundschule,Grundschule,MV
"Lange Straße 44, 18195 Tessin",038205/13204,false,MV-75135119,54.028442,12.468008,"Grundschule an der Recknitz, Tessin",75135119,038205/13204,Grundschule,Grundschule,MV
"Schulweg 5, 18182 Blankenhagen",038201/60649,false,MV-75135121,54.170586,12.343432,Grundschule Blankenhagen,75135121,038201/847,Grundschule,Grundschule,MV
"Rostocker Straße 22, 18209 Parkentin",038203/735257,false,MV-75135125,54.103668,11.908879,Grundschule Parkentin,75135125,038203/63763,Grundschule,Grundschule,MV
"An der Schule 32, 18184 Broderstorf",038204/15235,false,MV-75135137,54.078392,12.297171,"Grundschule an der Carbäk, Broderstorf",75135137,038204/15235,Grundschule,Grundschule,MV
"Schulweg 1d, 18198 Kritzmow",038207/769851,false,MV-75135138,54.05683,12.051058,Regenbogenkinder Grundschule Kritzmow,75135138,038207/769850,Grundschule,Grundschule,MV
"Kröpeliner Straße 5, 18230 Rerik",038296/78235,false,MV-75135140,54.105555,11.616466,Grundschule Rerik,75135140,038296/78237,Grundschule,Grundschule,MV
"Schlossplatz 3, 18246 Bützow",038461/911280,false,MV-75135304,53.85,11.98333,"Grundschule und Freizeithaus am Schlossplatz, Bützow",75135304,038461/52006,Grundschule,Grundschule,MV
"Teterower Straße 11 b, 17179 Gnoien",039971/30610,false,MV-75135306,53.969108,12.707836,"Grundschule ""Johann Wolfgang von Goethe"", Gnoien",75135306,039971/12239,Grundschule,Grundschule,MV
"Wendenstraße 14, 18273 Güstrow",03843/218666,false,MV-75135309,53.804596,12.190816,"2. GS ""Fritz Reuter"", Güstrow",75135309,03843/213015,Grundschule,Grundschule,MV
"Heiligengeisthof 4, 18273 Güstrow",03843/680627,false,MV-75135310,53.791647,12.178182,"1. GS ""G. F. Kersting"", Güstrow",75135310,03843/682304,Grundschule,Grundschule,MV
"Schulkamp 5, 17166 Teterow",03996/152853,false,MV-75135317,53.773957,12.570114,Grundschule Teterow,75135317,03996/120640,Grundschule,Grundschule,MV
"Karl-Hawermann-Straße 12b, 18299 Diekhof",038455/20664,false,MV-75135331,53.861196,12.361754,"Grundschule am Schmooksberg, Diekhof",75135331,038455/20654,Grundschule,Grundschule,MV
"Hafenstraße 13, 18273 Güstrow",03843/683074,false,MV-75135335,53.7991,12.168858,"3. GS ""Schule am Hasenwald"", Güstrow",75135335,03843/684046,Grundschule,Grundschule,MV
"Schwaaner Straße 38, 18276 Lüssow",03843/219639,false,MV-75135343,53.843999,12.139861,Grundschule Lüssow,75135343,03843/214195,Grundschule,Grundschule,MV
"Mühlenstraße 84, 18249 Warnow",038462/28244,false,MV-75135347,53.786851,11.87828,Grundschule Warnow,75135347,038462/24248,Grundschule,Grundschule,MV
"Bollhäger Weg 2, 18209 Bad Doberan",038203/14606,false,MV-75235147,54.109583,11.888785,Schule mit dem Förderschwerpunkt Lernen Bad Doberan,75235147,038203/62575,Förderschule,Förderschule,MV
"Dr.-Leber-Straße 14, 18181 Graal-Müritz",038206/77813,false,MV-75235148,54.250903,12.238556,Schule mit den Förderschwerpunkten Lernen und geistige Entwicklung Graal-Müritz,75235148,038206/772 12,Förderschule,Förderschule,MV
"Ehm-Welk-Straße 26, 18209 Bad Doberan",038203/735254,false,MV-75235151,54.104373,11.91678,Schule mit dem Förderschwerpunkt geistige Entwicklung Bad Doberan,75235151,038203/65202,Förderschule,Förderschule,MV
"Dr.-Winckler-Straße, 18246 Bützow",038461/69015,false,MV-75235355,53.8455828,11.9590493,Förderzentrum Bützow - Schule mit dem Förderschwerpunkt Lernen,75235355,038461/69013,Förderschule,Förderschule,MV
"Ahornpromenade 1, 18273 Güstrow",03843/245443,false,MV-75235357,53.807427,12.192265,Schule mit dem Förderschwerpunkt Lernen,75235357,03843/331044,Förderschule,Förderschule,MV
"Niels-Stensen-Straße 4, 17166 Teterow",03996/140729,false,MV-75235358,53.769047,12.573763,Schule mit den Förderschwerpunkten Lernen und geistige Entwicklung,75235358,03996/172065,Förderschule,Förderschule,MV
"Plauer Chaussee 6, 18273 Güstrow",03843/831326,false,MV-75235359,53.786446,12.20838,"Landesförderzentrum für den Förderschwerpunkt ""Hören"" M-V",75235359,03843/83130,Förderschule,Förderschule,MV
"Neue Reihe 73a, 18225 Kühlungsborn",038293/14844,false,MV-75335143,54.14734,11.73311,"""Schulzentrum Kühlungsborn""
Verb. Regionale Schule und Gymnasium",75335143,038293/7292,Kooperative Gesamtschule,Kooperative Gesamtschule,MV
