address,fax,full_time_school,id,lat,lon,name,official_id,phone,school_type,school_type_entity,state
"Langenheisch 27 - 29, 24582 Bordesholm",04322 - 6264,true,SH-0707501,54.171206,10.033499,Hans-Brueggemann-Schule,0707501,04322 - 5660,Gemeinschaftsschule mit Oberstufe,Gemeinschaftsschule,SH
"Schulstrasse 4 - 6, 24582 Bordesholm",04322 - 699579,true,SH-0702633,54.174366,10.028585,Lindenschule,0702633,04322 - 699577,Grundschule,Grundschule,SH
"Soltausredder 18, 22885 Barsbüttel",040 - 6707638,false,SH-0702949,53.571475,10.16309,Grundschule Barsbüttel,0702949,040 - 67078828,Grundschule,Grundschule,SH
"An der Schule 2, 25852 Bordelum",04671 - 942605,true,SH-0702328,54.637607,8.920798,Grundschule des Schulverbandes Mittleres Nordfriesland in Bordelum,0702328,04671 - 1010,Grundschule,Grundschule,SH
"Stemwarder Landstraße 4, 22885 Barsbüttel",040 - 6887157915,true,SH-0702983,53.562915,10.209094,Grundschule Willinghusen,0702983,040 - 688715790,Grundschule,Grundschule,SH
"Heederbrook 10, 25355 Barmstedt",04123 - 683521,false,SH-0703450,53.782158,9.773608,Albert-Schweitzer-Schule,0703450,04123 - 68350,FöZ mit dem SP Lernen,FöZ mit dem SP Lernen,SH
"Schulstraße 5, 25355 Barmstedt",04123 - 683121,true,SH-0707411,53.790741,9.776283,Grund- und Gemeinschaftsschule der Stadt Barmstedt in Barmstedt,0707411,04120 - 1430,Gemeinschaftsschule ohne Oberstufe,Gemeinschaftsschule,SH
"Ede-Menzler-Weg 6, 25355 Barmstedt",04123 - 900226,true,SH-0705458,53.781428,9.76906,Carl-Friedrich-von-Weizsäcker-Gymnasium,0705458,04123 - 90020,Gymnasium,Gymnasium,SH
"Heederbrook 10 a, 25355 Barmstedt",04123 - 683423,false,SH-0702554,53.782158,9.773608,James-Krüss-Schule,0702554,04123 - 2575,Grundschule,Grundschule,SH
"Dorfstraße 13, 24360 Barkelsby",04351 - 86965,true,SH-0702627,54.501444,9.838495,Grundschule Barkelsby,0702627,04351 - 83678,Grundschule,Grundschule,SH
"Alte Landstraße 55, 22941 Bargteheide",04532 - 263323,false,SH-0703752,53.727682,10.255998,Albert-Schweitzer-Schule -FöZ Lernen-,0703752,04532 - 263320,FöZ mit dem SP Lernen,FöZ mit dem SP Lernen,SH
"Emil-Nolde-Straße 9, 22941 Bargteheide",04532 - 207851,true,SH-0707718,53.727513,10.261647,Anne-Frank-Schule Bargteheide,0707718,04532 - 20780,Gemeinschaftsschule mit Oberstufe,Gemeinschaftsschule,SH
"Am Schulzentrum 1, 22941 Bargteheide",04532 - 260485,false,SH-0705754,53.726534,10.262013,Kopernikus Gymnasium Bargteheide,0705754,04532 - 97620,Gymnasium,Gymnasium,SH
"Am Schulzentrum 11, 22941 Bargteheide",04532 - 502150,true,SH-0707706,53.726088,10.262497,"Dietrich-Bonhoeffer-Schule,Gemeinschaftsschule mit Oberstufe i. E. der Stadt Bargteheide in Bargteheide",0707706,04532 - 50210,Gemeinschaftsschule mit Oberstufe,Gemeinschaftsschule,SH
"Eckhorst, 22941 Bargteheide",04532 - 260386,false,SH-0705757,53.7246511,10.2521434,Gymnasium Eckhorst,0705757,04532 - 26670,Gymnasium,Gymnasium,SH
"Alte Landstraße 79, 22941 Bargteheide",04532 - 209126,true,SH-0702946,53.725966,10.247718,Johannes-Gutenberg-Schule,0702946,04532 - 20910,Grundschule,Grundschule,SH
"Am Schulzentrum 11 a, 22941 Bargteheide",04532 - 263616,true,SH-0702947,53.726088,10.262497,Emil-Nolde-Schule,0702947,04532 - 263610,Grundschule,Grundschule,SH
"Segeberger Straße 1, 22941 Bargteheide",04532 - 261371,true,SH-0702948,53.73534,10.265992,Carl-Orff-Schule,0702948,04532 - 8441,Grundschule,Grundschule,SH
"Reesenbüttler Redder 4 - 10, 22926 Ahrensburg",04102 - 478417,true,SH-0707710,53.679326,10.218165,Gemeinschaftsschule Am Heimgarten Ahrensburg,0707710,04102 - 478420,Gemeinschaftsschule ohne Oberstufe,Gemeinschaftsschule,SH
"Schulstraße 10, 23863 Bargfeld-Stegen",04532 - 25184,true,SH-0702945,53.764305,10.183519,Grundschule Alte Alster,0702945,04532 - 7245,Grundschule,Grundschule,SH
"Schulstraße 8, 23611 Bad Schwartau",0451 - 20007129,true,SH-0707357,53.920661,10.695373,Elisabeth-Selbert-Gemeinschaftsschule,0707357,0451 - 2000710,Gemeinschaftsschule ohne Oberstufe,Gemeinschaftsschule,SH
"Lübecker Straße 75, 23611 Bad Schwartau",0451 - 20007229,false,SH-0705405,53.912196,10.694372,Leibniz-Gymnasium,0705405,0451 - 2000720,Gymnasium,Gymnasium,SH
"Ludwig-Jahn-Straße 13, 23611 Bad Schwartau",0451 - 20007329,true,SH-0705407,53.919201,10.686698,Gymnasium am Mühlenberg,0705407,0451 - 2000730,Gymnasium,Gymnasium,SH
"Mittelstrasse 16, 23611 Bad Schwartau",0451 - 20007429,false,SH-0702422,53.919711,10.681772,Grundschule der Stadt Bad Schwartau in Bad Schwartau,0702422,0451 - 2000740,Grundschule,Grundschule,SH
"Am Kurpark 16, 23843 Bad Oldesloe",04531 - 175822,false,SH-0703751,53.801582,10.376549,Schule am Kurpark -FöZ-Förderzentrum,0703751,04531 - 1758-0,FöZ mit dem SP Lernen,FöZ mit dem SP Lernen,SH
"Cleverhofer Weg 118, 23611 Bad Schwartau",0451 - 20007529,false,SH-0702423,53.909834,10.678767,Grundschule Cleverbrück,0702423,0451 - 2000750,Grundschule,Grundschule,SH
"Masurenweg 22, 23843 Bad Oldesloe",04531 - 87730,true,SH-0707708,53.80474,10.391169,Schule am Masurenweg,0707708,04531 - 82036,Gemeinschaftsschule ohne Oberstufe,Gemeinschaftsschule,SH
"Olivet-Allee 4 - 6, 23843 Bad Oldesloe",- keine Angabe -,true,SH-0707715,53.807871,10.36722,Ida-Ehre-Schule,0707715,04531 - 504630,Gemeinschaftsschule mit Oberstufe,Gemeinschaftsschule,SH
"Hamburger Straße 42, 23843 Bad Oldesloe",04531 - 504-606,true,SH-0705752,53.80592,10.367225,Theodor-Mommsen-Schule,0705752,04531 - 504-602,Gymnasium,Gymnasium,SH
"Königsberger Straße 1, 23843 Bad Oldesloe",04531 - 175723,true,SH-0702943,53.817091,10.381105,Klaus-Groth-Schule,0702943,04531 - 17570,Grundschule,Grundschule,SH
"Salinenstraße 20, 23843 Bad Oldesloe",04531 - 504-694,true,SH-0702944,53.807184,10.372774,Stadtschule,0702944,04531 - 504-690,Grundschule,Grundschule,SH
"Helene-Stöcker-Straße 2, 23843 Bad Oldesloe",04531 - 66-98111,true,SH-0702971,53.807184,10.350661,Grundschule West,0702971,04531 - 66-9810,Grundschule,Grundschule,SH
"Am Schanzenberg 2 a, 23843 Bad Oldesloe",04531 - 669450,false,SH-0706706,53.81167,10.37417,Berufliche Schule des Kreises Stormarn in Bad Oldesloe,0706706,04531 - 12451,Berufsbildende Schule,Berufsbildende Schule,SH
"Maienbeeck 11, 24576 Bad Bramstedt",04192 - 899704,true,SH-0703650,53.920984,9.880005,Bramau-Schule -FöZ Lernen-,0703650,04192 - 3821,FöZ mit dem SP Lernen,FöZ mit dem SP Lernen,SH
"Schäferberg 28, 24576 Bad Bramstedt",04192 - 897423,true,SH-0707611,53.92622,9.873081,Gemeinschaftsschule Auenland,0707611,04192 - 902719,Gemeinschaftsschule mit Oberstufe,Gemeinschaftsschule,SH
"Düsternhoop 48, 24576 Bad Bramstedt",04192 - 879646,true,SH-0705650,53.925684,9.894437,Jürgen-Fuhlendorf-Schule,0705650,04192 - 879630,Gymnasium,Gymnasium,SH
"Maienbeeck 11, 24576 Bad Bramstedt",04192 - 814972,true,SH-0702806,53.920984,9.880005,Grundschule Maienbeeck Bad Bramstedt/Wiemersdorf,0702806,04192 - 6904,Grundschule,Grundschule,SH
"Hoffeldweg 1 b, 24576 Bad Bramstedt",04192 - 814873,true,SH-0702834,53.912546,9.86808,Grundschule am Storchennest,0702834,04192 - 814781,Grundschule,Grundschule,SH
"Am Bahnhof 16, 24576 Bad Bramstedt",04192 - 899507,true,SH-0702881,53.919583,9.889131,Grundschule Am Bahnhof,0702881,04192 - 899249,Grundschule,Grundschule,SH
"Ernst-Anton-Straße 27, 21521 Aumühle",04104 - 1736,false,SH-0702315,53.521682,10.316583,Fürstin-Ann-Mari-von-Bismarck-Schule,0702315,04104 - 1565,Grundschule,Grundschule,SH
"Ziegeleiweg 15, 24613 Aukrug",04873 - 901804,false,SH-0702625,54.079896,9.780156,Aukrugschule,0702625,04873 - 456,Grundschule,Grundschule,SH
"Schulberg, 24358 Ascheffel",04353 - 991610,false,SH-0702624,54.42848,9.701313,Grundschule Hüttener Berge,0702624,04353 - 554,Grundschule,Grundschule,SH
"Heideweg 1 a, 25482 Appen",04101 - 595650,true,SH-0703460,53.635095,9.756222,Heideweg-Schule,0703460,04101 - 59563,FöZ mit dem SP geistige Entwicklung,FöZ mit dem SP geistige Entwicklung,SH
"Vogelsang 12, 24326 Ascheberg (Holstein)",04526 - 380936,true,SH-0702565,54.145739,10.339159,Schule Vogelsang,0702565,04526 - 410,Grundschule,Grundschule,SH
"Schulstraße 4, 25482 Appen",04101 - 511757,false,SH-0702485,53.660813,9.736645,Grundschule Appen,0702485,04101 - 511756,Grundschule,Grundschule,SH
"Steenhoop 32, 22949 Ammersbek",04102 - 473811,true,SH-0702950,53.698217,10.222416,Grundschule Bünningstedt,0702950,04102 - 44104,Grundschule,Grundschule,SH
"Teichweg 27, 22949 Ammersbek",040 - 60558387,true,SH-0702959,53.681531,10.157366,Grundschule Hoisbüttel,0702959,040 - 60558386,Grundschule,Grundschule,SH
"Klausdorfer Straße 72 - 74, 24161 Altenholz",0431 - 26096026,false,SH-0702622,54.399621,10.118032,Claus-Rixen-Schule,0702622,0431 - 26096120,Grundschule,Grundschule,SH
"Dorfstraße 13, 24791 Alt Duvenstedt",04338 - 9994040,false,SH-0702621,54.359162,9.643518,Grundschule Alt Duvenstedt,0702621,04338 - 365,Grundschule,Grundschule,SH
"Brutkamp 14, 25767 Albersdorf",04835 - 977422,true,SH-0707205,54.143935,9.28921,Gemeinschaftsschule am Brutkamp,0707205,04835 - 97740,Gemeinschaftsschule ohne Oberstufe,Gemeinschaftsschule,SH
