"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Geschwister-Scholl-Schule","Erich-Ollenhauer-Straße 1","63073","Offenbach","Hessen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Sekundarschule ""Fritz-Heicke""","Nordhausener Straße 18","39245","Gommern","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Berufsbildende Schulen (BBS) Papenburg","Fahnenweg 31 - 39","26871","Papenburg","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Berufliche Schule B 9, ehem. Berufliche Schule B 14","Schönweißstraße 7","90461","Nürnberg","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Marie-Curie-Gymnasium","Bergstraße 9","99438","Bad Berka","Thüringen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Lüttfeld-Berufskolleg","Lüttfeld 1","32657","Lemgo","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Georg-Weerth-Mittelschule","Uhlandstraße 2-4","09130","Chemnitz","Sachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Augustinianum","Lindenstraße 68","48268","Greven","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Berufskolleg für Wirtschaft und Verwaltung der Stadt Herne","Westring 201-203","44629","Herne","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Kardinal-von-Galen-Schulen Gymnasium","Große Straße 38","49497","Mettingen","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Anne-Frank-Realschule","Im Deipen Brook 20","48268","Greven","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Gymnasium Paulinum","Am Stadtgraben 30","48143","Münster","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Robert Bosch Gymnasium","Freistegstraße 12","89129","Langenau","Baden-Württemberg","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Stephaneum","Dr.-Wilhelm-Külz-Platz 16","06449","Aschersleben","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Sekundarschule ""Am Tierpark"" Staßfurt","Am Tierpark 2","39418","Staßfurt","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Integrierte Gesamtschule Nieder-Olm","Karl-Sieben Straße","55268","Nieder-Olm","Rheinland-Pfalz","","","Schule ohne Rassismus - Schule mit Courage","0"
"Sekundarschule Harzgerode","Neudorfer Weg 15","06493","Harzgerode","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Gemeinschaftshauptschule Aachener Straße (geschlossen seit 31.07.2013)","Aachener Straße 179","41061","Mönchengladbach","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Lise-Meitner-Gesamtschule","Stresemannstraße 36","51149","Köln","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Sekundarschule Jessen","Straße der Jugend 9","06917","Jessen","Sachsen-Anhalt","","","Schule ohne Rassismus - Schule mit Courage","1"
"Realschule Osterholz Scharnbeck","Lange Straße 28","27711","Osterholz Scharnbeck","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Max-Ernst-Schule","Camberger Weg 8","61276","Weilrod-Riedelbach","Hessen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Wirtschaftsschule Dr. P. Rahn","Am Ahornbusch 4","31582","Nienburg","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Schulzentrum des Sekundarbereichs II - Blumenthal","Eggestedter Straße 20","28779","Bremen","Bremen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Franz-Ludwig-Gymnasium","Franz-Ludwig-Straße 13","96047","Bamberg","Bayern","","","Schule ohne Rassismus - Schule mit Courage","0"
"Gymnasium Sulingen","Schmelingstraße 37","27232","Sulingen","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Max-von-Laue Gymnasium Koblenz","Südallee 1","56068","Koblenz","Rheinland-Pfalz","","","Schule ohne Rassismus - Schule mit Courage","0"
"von-Vincke-Schule Soest","Hattroper Weg 70","59494","Soest","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Geschwister-Scholl-Schule","Hauptstraße 70","08304","Schönheide","Sachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Konrad-Adenauer-Realschule Hamm","Heideweg 4","59069","Hamm","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","1"
"HBS Nordhorn - Hauswirtschaftliche Berufsbildende Schulen des Landkreises Grafschaft Bentheim","Am Bölt 5","48527","Nordhorn","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","2"
"Gymnasium Syke","La-Chartre-Straße","28857","Syke","Niedersachsen","","","Schule ohne Rassismus - Schule mit Courage","1"
"Erich Kästner-Gesamtschule Bochum","Markstraße 189","44799","Bochum","Nordrhein-Westfalen","","","Schule ohne Rassismus - Schule mit Courage","0"
"Mittelschule ""Am Flughafen""","Straße Usti nad Labem 277","09119","Chemnitz","Sachsen","","","Schule ohne Rassismus - Schule mit Courage","0"
