"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Albrecht-von-Graefe-Schule","Graefestraße 85","10967","Berlin","Berlin","Programm","","Dialog macht Schule","0"
"Hedwig-Dohm-Oberschule","Stephanstr. 27\n","10559","Berlin","Berlin","Programm","","Dialog macht Schule","0"
"Hermann-Sander-Schule","Mariendorfer Weg 69","12051","Berlin","Berlin","Programm","","Dialog macht Schule","1"
"Kepler-Schule","Zwillingestraße 21/29\n","12057","Berlin","Berlin","Programm","","Dialog macht Schule","0"
"Otto-Hahn-Schule","Buschkrugallee 63d\n","12359","Berlin","Berlin","Programm","","Dialog macht Schule","0"
"Sonnen-Grundschule","Dammweg 228\n","12057","Berlin","Berlin","Programm","","Dialog macht Schule","0"
"B.–Traven-Gemeinschaftsschule","Recklinghauser Weg 26-32\n","13583","Berlin","Berlin","Programm","","Dialog macht Schule","0"
"Schule am Staakener Kleeblatt","Brunsbütteler Damm 431/437","13591","Berlin","Berlin","Programm","","Dialog macht Schule","0"
