"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","id"
"kikuma Kinderatelier","","","Dornstadt-Bollingen","","","","0"
"Kinder- u. Jugendförderung","","","Ostfildern","","","","0"
"Kirbachschule WRS","","","Hohenhaslach","","","","0"
"Konrad-Kocher-Schule","","","Ditzingen","","","","0"
"kursivTraining","","","Stuttgart","","","","3"
"Kurt-von-Marval-Schule","","","Nordheim","","","","1"
"Linden-Realschule","","","Stuttgart","","","","3"
"Ludwig-Erhard-Schule","","","Pforzheim","","","","0"
"Ludwig-Frohnhäuser-Schule","","","Wimpfen","","","","0"
"Luginslandschule","","","Stuttgart","","","","3"
"Magdalena-Neff-Schule","","","Ehingen","","","","1"
"Markgrafen-Realschule","","","Emmendingen","","","","0"
"Martin-Schleyer-Gymnasium","","","Lauda-Königshofen","","","","0"
"Matthias-Erzberger-Schule","","","Biberach","","","","0"
"Max-Planck-Realschule","","","Bretten","","","","0"
"Max-Weber-Schule","","","Freiburg","","","","1"
"Merian-Schule","","","Epfenbach","","","","0"
"Michael-Ende-Gemeinschafts-Schule","","","Bad Schönborn","","","","0"
"Mönchsee Gymnasium","","","Heilbronn","","","","1"
"Mörikeschule","","","Backnang","","","","0"
"Nikolaus-Christian-Sander GHS","","","Köndringen","","","","0"
"Oscar-Paret-Schule","","","Freiberg am Neckar","","","","0"
"Otto-Hahn Gymnasium","","","Böblingen","","","","0"
"Otto-Hahn-Gymnasium","","","Ostfildern","","","","0"
"Otto-Hahn-Gymnasium","","","Tuttlingen","","","","0"
"Otto-Hahn-Realschule","","","Lahr","","","","0"
"Pädagogische Hochschule","","","Freiburg","","","","1"
"Pädagogisches Fachseminar Karlsruhe","","","Karlsruhe","","","","1"
"Pädagogisches Fachseminar Kirchheim","","","Kirchheim","","","","7"
"Pädagogisches Fachseminar","","","Schwäbisch Gmünd","","","","0"
"Parkschule WRS","","","Gaildorf","","","","0"
"Pestalozzi-Schule","","","Friedrichshafen","","","","0"
"Pestalozzi-WRS","","","Tauberbischofsheim","","","","0"
"Peter-Bruckmann-Schule","","","Heilbronn","","","","1"
"Peter-Rosegger-Schule","","","Reutlingen","","","","0"
"Pfarrwiesengymnasium","","","Sindelfingen","","","","0"
"Realschule Blaustein","","","Blaustein","","","","0"
"Realschule Güglingen","","","Güglingen","","","","0"
"Realschule Korntal/ Münchingen","","","Münchingen","","","","0"
"Realschule Krautheim","","","Krautheim","","","","0"
"Realschule Lenningen","","","Lenningen","","","","0"
"Realschule Markgröningen","","","Markgröningen","","","","0"
"Realschule Neckartenzlingen","","","Neckartenzlingen","","","","0"
"Realschule Renningen","","","Renningen","","","","0"
"Realschule Schömberg","","","Schömberg","","","","0"
"Robert-Schumann-Schule","","","Baden-Baden","","","","0"
"Robert-Schuman-Realschule","","","Waldshut","","","","0"
"RS Titisee-Neustadt","","","Titisee-Neustadt","","","","0"
"Schlossbergschule","","","Kappelrodeck","","","","0"
"Schubart-Gymnasium Ulm","","","Ulm","","","","40"
"Schule im Sand","","","Bietingheim","","","","0"
"Schulzentrum Freiamt","","","Freiamt","","","","0"
"Seckenheimschule","","","Mannheim","","","","1"
"Sibilla-Egen-Schule","","","Schwäbisch Hall","","","","0"
"Staatl. Schule für Sehbehinderte","","","Waldkirch","","","","9"
"Staatl. Seminar für Didaktik u. Lehrerbildung","","","Sindelfingen","","","","0"
"Staatliches Seminar für Didaktik und Lehrerausbildung Freiburg","","","Freiburg","","","","1"
"Technisches Gymnasium – Gewerbl. Schule Schwäbisch-Gmünd","","","Schwäbisch Gmünd","","","","0"
"Theodor-Frank-Realschule","","","Teningen","","","","0"
"Theodor-Heus-GWRS","","","Brackenheim","","","","0"
"Theodor-Heus-Realschule","","","Kornwestheim","","","","0"
"Turmbergschule","","","Weingarten (Baden)","","","","0"
"Uhland Realschule","","","Aalen","","","","0"
"Universität Freiburg","","","Institut für Landespflege","Freiburg","","","0"
"Walter-Hensel-Schule","","","Göppingen","","","","0"
"Werner-Heisenberg-Gymnasium","","","Göppingen","","","","0"
"Wilhelm-Hildenbrand-Schule","","","Vogtsburg","","","","0"
"Wilhelm-Maybach-Schule","","","Stuttgart","","","","3"
"Wilhelms-Gymnasium Stuttgart","","","Stuttgart","","","","3"
"Willy-Brandt-Realschule","","","Königsbach-Stein","","","","0"
"Wolftalschule","","","Oberwolfach","","","","0"
"Adalbert-Stifter-VS","","","Forchheim","","","","13"
"Adolf-Kolping-Berufsschule","","","München","","","","370"
"Adolph-Kolping-BS","","","Bamberg","","","","40"
"Alberft-Blankertz-Mittelschule","","","Redwitz","","","","2"
"Alfons-Lindner-Schule","","","Tiefenbach","","","","4"
"Georg-Huber-Mittelschule Grafing","","","Grafing","","","","6"
"Mittelschule Poing","","","Poing","","","","2"
"Mittelschule Erding","","","Erding","","","","16"
"Mittelschule Ismaning","","","Ismaning","","","","5"
