"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Carl-Severing-Berufskolleg für Wirtschaft und Verwaltung","","33607","Bielefeld","","Programm","","Fairtrade Schools","7"
"Carl-Spitzweg-Gymnasium Germering","","82110","Germering","","Programm","","Fairtrade Schools","9"
"Carl-von Linne´- Schule","","10367","Berlin","","Programm","","Fairtrade Schools","4"
"Carl-von-Linde Realschule","","80339","München","","Programm","","Fairtrade Schools","4"
"Carl-von-Linde-Gymnasium","","87439","Kempten","","Programm","","Fairtrade Schools","14"
"Christian Ernst Gymnasium Erlangen","","91054","Erlangen","","Programm","","Fairtrade Schools","5"
"Christian Hülsmeyer-Schule","","49406","Barnstorf","","Programm","","Fairtrade Schools","2"
"Christian-Rohlfs-Gymnasium","","58135","Hagen","","Programm","","Fairtrade Schools","10"
"Christoph-Stöver-Realschule","","45739","Oer-Erkenschwick","","Programm","","Fairtrade Schools","9"
"Christophorus Gymnasium Altensteig","","72213","Altensteig","","Programm","","Fairtrade Schools","0"
"Clemens Brentano","","48249","Dülmen","","Programm","","Fairtrade Schools","15"
"Coelestin-Maier-Realschule S","","94474","Vilshofen","","Programm","","Fairtrade Schools","10"
"Comenius Berufskolleg","","58455","Witten","","Programm","","Fairtrade Schools","6"
"Copernicus Gymnasium","","76661","Philippsburg","","Programm","","Fairtrade Schools","0"
"Cusanus-Gymnasium Erkelenz Europaschule","","41812","Erkelenz","","Programm","","Fairtrade Schools","13"
"Deutsch-Französisches Gymnasium","","79102","Freiburg","","Programm","","Fairtrade Schools","0"
"DHG Meersburg","","88709","Meersburg","","Programm","","Fairtrade Schools","0"
"Diedrich-Uhlhorn-Realschule","","41516","Grevenbroich","","Programm","","Fairtrade Schools","5"
"Dietrich Bonhoeffer Berufskolleg des Kreises Lippe in Detmold","","32756","Detmold","","Programm","","Fairtrade Schools","19"
"Dietrich-Bonhoeffer-Gymnasium","","26197","Ahlhorn","","Programm","","Fairtrade Schools","2"
"Dietrich-Bonhoeffer-Gymnasium Oberasbach","","90522","Oberasbach","","Programm","","Fairtrade Schools","5"
"Dietrich-Bonhoeffer-Realschule","","30519","Hannover","","Programm","","Fairtrade Schools","9"
"Dominikus-Zimmermann-Gymnasium Landsberg","","86899","Landsberg","","Programm","","Fairtrade Schools","12"
"Dominkus Zimmermann Realschule","","89312","Günzburg","","Programm","","Fairtrade Schools","12"
"Dorothea-Schlözer-Schule","","23568","Lübeck","","Programm","","Fairtrade Schools","5"
"Dossenberger-Gymnasium","","89312","Günzburg","","Programm","","Fairtrade Schools","12"
"Dreifaltigkeits-Mittelschule Amberg","","92224","Amberg","","Programm","","Fairtrade Schools","19"
"Driland Kolleg","","48599","Gronau","","Programm","","Fairtrade Schools","17"
"E.T.A. Hoffmann-Gymnasium","","96049","Bamberg","","Programm","","Fairtrade Schools","12"
"Edith-Stein-Gymnasium Bretten","","75015","Bretten","","Programm","","Fairtrade Schools","0"
"Edith-Stein-Schule Ravensburg","","88212","Ravensburg","","Programm","","Fairtrade Schools","0"
"Edith-Stein.Gymnasium München","","81667","München","","Programm","","Fairtrade Schools","6"
"Eduard-Spranger-Gymnasium","","70794","Filderstadt","","Programm","","Fairtrade Schools","0"
