"Schulname","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Grundschule Harmonie Eitorf","Sankt-Martins-Weg 5","53783","Eitorf","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Grundschule Hehlentor Celle","Harburger Straße 33","29223","Celle","Niedersachsen","Programm","","Blick über den Zaun","0"
"Grundschule Klixbüll","Schulstr. 5","25899","Klixbüll","Schleswig-Holstein","Programm","","Blick über den Zaun","0"
"Grundschule Obervorschütz","Burggraben 1","34281","udensberg-Obervorschütz","Hessen","Programm","","Blick über den Zaun","0"
"Grundschule Op de Host Horst","Birkenweg 19","25358","Horst","Schleswig-Holstein","Programm","","Blick über den Zaun","1"
"Grundschule Pannesheide Herzogenrath","Pannesheiderstr. 51","52134","Herzogenrath","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Grundschule Pattonville","John-F.-Kennedy-Allee 43","71686","Remseck-Pattonville","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Grundschule Schimmeldewog Wald-Michelbach","Kirchstr. 14","69483","Wald-Michelbach","Hessen","Programm","","Blick über den Zaun","0"
"Grundschule Wutach","Schwimmbadstr. 16","79879","Wutach","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"GS Comeniusstraße Braunschweig","Comeniusstr. 11","38102","Braunschweig","Niedersachsen","Programm","","Blick über den Zaun","0"
"GS Süd Landau","Raimund-Huber-Str. 14","76829","Landau","Rheinland-Pfalz","Programm","","Blick über den Zaun","0"
"Gymnasium am Bötschenberg","Am Bötschenberg 11","38350","Helmstedt","Niedersachsen","Programm","","Blick über den Zaun","1"
"Gymnasium Schloss Hagerhof","Menzenberg 13","53604","Bad Honnef","Nordrhein-Westfalen","Programm","","Blick über den Zaun","2"
"Heinrich-Nordhoff-Gesamtschule Wolfsburg","Suhler Str. 1","38444","Wolfsburg","Niedersachsen","Programm","","Blick über den Zaun","0"
"Heinrich-von-Stephan-Gemeinschaftsschule","Neues Ufer 6","10553","Berlin","Berlin","Programm","","Blick über den Zaun","1"
"Helene-Lange-Schule Wiesbaden","Langenbeckstr. 6-18","65189","Wiesbaden","Hessen","Programm","","Blick über den Zaun","0"
"Hermann-Lietz-Schule Schloss Hohenwehrda","Schloss Hohenwehrda","36166","Haunetal","Hessen","Programm","","Blick über den Zaun","0"
"IGS Braunschweig-Querum","Essener Str. 85","38108","Braunschweig","Niedersachsen","Programm","","Blick über den Zaun","0"
"IGS Delmenhorst","Pestalozziweg 88","27749","Delmenhorst","Niedersachsen","Programm","","Blick über den Zaun","1"
"IGS Franzsches Feld Braunschweig","Grünewaldstr. 12","38104","Braunschweig","Niedersachsen","Programm","","Blick über den Zaun","1"
"IGS Kastellstraße Wiesbaden","Kastellstr. 11","65183","Wiesbaden","Hessen","Programm","","Blick über den Zaun","0"
"IGS Landau","Schneiderstr. 69","76829","Landau","Rheinland-Pfalz","Programm","","Blick über den Zaun","0"
"IGS List Hannover","Röntgenstr. 6","30163","Hannover","Niedersachsen","Programm","","Blick über den Zaun","0"
"IGS Osterholz-Scharmbeck","Mensingstr. 56","27711","Osterholz-Scharmbeck","Niedersachsen","Programm","","Blick über den Zaun","0"
"ImPULS-Schule Schmiedefeld","Schulstr. 12","98711","Schmiedefeld","Thüringen","Programm","","Blick über den Zaun","1"
"Integrierte Gesamtschule Schaumburg","Schachtstr. 53","31655","Stadthagen","Niedersachsen","Programm","","Blick über den Zaun","1"
"Internat Schloss Rohlstorf","Am Gut 1","23821","Rohlstorf","Schleswig-Holstein","Programm","","Blick über den Zaun","0"
"IOGS Kretzerstraße","Kretzerstraße 5-7","50733","Köln","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Jeetzeschule Salzwedel","Karl-Marx-Str. 2-4","29410","Salzwedel","Sachsen-Anhalt","Programm","","Blick über den Zaun","0"
"Jenaplan-Schule Jena","Tatzenpromenade 9","7745","Jena","Thüringen","Programm","","Blick über den Zaun","0"
"Jenaplanschule Markersbach (Kl. 1-10)","Annabergstr. 86","8352","Markersbach","Sachsen","Programm","","Blick über den Zaun","0"
"Jenaplanschule Rostock","Lindenstraße 3a","18055","Rostock","Mecklenburg-Vorpommern","Programm","","Blick über den Zaun","1"
"Johanna-Eck-Schule (ISS in der Ringstraße)","Ringstr. 103-106","12105","Berlin","Berlin","Programm","","Blick über den Zaun","1"
"Katholische Grundschule ""An der Kopfbuche"" Pulheim","An der Kopfbuche 1","50259","Pulheim","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"KGS Mainzer Straße Köln","Mainzer Str. 30-34","50678","Köln","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Kurt-Tucholsky-Gesamtschule Minden, Standort Dankersen","Olafstr. 5","32423","Minden","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Laborschule Bielefeld","Universitätsstr. 21","33615","Bielefeld","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"Landheim Schondorf","Landheimstr. 1","86938","Schondorf","Bayern","Programm","","Blick über den Zaun","0"
"Landschulheim Grovesmühle Veckenstedt","Grovesmühle 1","38871","Veckenstedt","Sachsen-Anhalt","Programm","","Blick über den Zaun","2"
"Landschulheim Steinmühle","Steinmühlenweg 21","35043","Marburg","Hessen","Programm","","Blick über den Zaun","0"
"Leonardo Da Vinci Campus Nauen","Alfred-Nobel-Straße 10","14641","Nauen","Brandenburg","Programm","","Blick über den Zaun","3"
"Lindenhofschule Halver","Schulstr. 7","58553","Halver","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Lobdeburgschule Jena","Unter der Lobdeburg 4","7747","Jena","Thüringen","Programm","","Blick über den Zaun","1"
"Ludwig-Windthorst-Schule","Altenbekener Damm 81","30173","Hannover","Niedersachsen","Programm","","Blick über den Zaun","1"
"Maria-Montessori-Gesamtschule Krefeld","Minkweg 26","47803","Krefeld","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"Marianum, Kloster Hegne","Konradistr.16","78476","Allensbach-Hegne","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Max-Brauer-Schule Hamburg","Bei-der-Paul-Gerhardt-Kirche 1-3","22761","Hamburg","Hamburg","Programm","","Blick über den Zaun","0"
"Montessori Bildungshaus Hannover e.V.","Bonner Straße 10","30173","Hannover","Niedersachsen","Programm","","Blick über den Zaun","1"
"Montessori Gesamtschule Saarbrücken","Im Grühlingswald 19","66299","Friedrichsthal","Saarland","Programm","","Blick über den Zaun","0"
"Montessori Oberschule Potsdam","Schlüterstr. 2-4","14471","Potsdam","Brandenburg","Programm","","Blick über den Zaun","0"
"Montessori Schule Biberkor","Biberkorstr. 19-23","82335","Berg","Bayern","Programm","","Blick über den Zaun","0"
"Montessori Schule Greifswald","Helsinkiring 5","17493","Greifswald","Mecklenburg-Vorpommern","Programm","","Blick über den Zaun","0"
"Montessori-Grundschule Stade","Hohenfriedberger Str. 19a","21680","Stade","Niedersachsen","Programm","","Blick über den Zaun","0"
"Montessori-Schule Hofheim","Schlossstr. 119","65719","Hofheim am Taunus","Hessen","Programm","","Blick über den Zaun","0"
"Montessorizug der GS Steinbach/Thomas-Schweicker HS","Großcomburger Weg 8","74523","Schwäbisch Hall","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Neue Schule Wolfsburg","Heinrich-Heine-Str. 36","38440","Wolfsburg","Niedersachsen","Programm","","Blick über den Zaun","0"
"Nikolaus-Schule Bornheim","Sandstr. 100","53332","Bornheim","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"Oberschule an der Koblenzer Str.","Koblenzer Str. 15","28325","Bremen","Bremen","Programm","","Blick über den Zaun","1"
"Oberstufen-Kolleg Bielefeld","Universitätsstr. 23","33615","Bielefeld","Nordrhein-Westfalen","Programm","","Blick über den Zaun","0"
"Offene Schule Waldau","Stegerwaldstr. 45","34123","Kassel","Hessen","Programm","","Blick über den Zaun","0"
"Ostseeschule Flensburg","Klosterholzweg 30","24944","Flensburg","Schleswig-Holstein","Programm","","Blick über den Zaun","0"
"Otto Ubbelohde Schule","Schulstr. 3","35037","Marburg","Hessen","Programm","","Blick über den Zaun","0"
"Pestalozzi-Schule Friedrichshafen","Allmandstr. 15","88045","Friedrichshafen","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Profilschule Ascheberg","Bahnhofsweg 5","59387","Ascheberg","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"Reformschule Kassel","Schulstr. 2","34131","Kassel","Hessen","Programm","","Blick über den Zaun","0"
"Robert-Bosch-Gesamtschule","Richthofenstr. 37","31137","Hildesheim","Niedersachsen","Programm","","Blick über den Zaun","1"
"Rosenmaarschule Köln","Am Rosenmaar 3","51061","Köln","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"Rudolf Steiner Schule Loheland","Loheland 1","36093","Künzell","Hessen","Programm","","Blick über den Zaun","0"
"Sankt Franziskus Grundschule","Jamboler Str. 1","6130","Halle","Sachsen-Anhalt","Programm","","Blick über den Zaun","0"
"Sankt Mauritius Sekundarschule","Jamboler Straße 1","6130","Halle","Sachsen-Anhalt","Programm","","Blick über den Zaun","1"
"Schule Birklehof Hinterzarten","Postfach 1133","79856","Hinterzarten","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Schule Schloss Salem","Kurt-Hahn-Str. 1","88682","Überlingen","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Sophie-Scholl-Schule Gießen","Grünberger Str. 222","35394","Gießen","Hessen","Programm","","Blick über den Zaun","0"
"St.Meinrad-Gymnasium Rottenburg","Seebronner Str. 40","72108","Rottenburg a.N.","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Stadtteilschule Bergedorf Hamburg","Ladenbeker Weg 13","21033","Hamburg","Hamburg","Programm","","Blick über den Zaun","1"
"Stadtteilschule Winterhude Hamburg","Meerweinstr. 28","22303","Hamburg","Hamburg","Programm","","Blick über den Zaun","0"
"Steinwaldschule Neukirchen","Reissmannweg 7","34626","Neukirchen","Hessen","Programm","","Blick über den Zaun","0"
"Stiftung Landschulheim am Solling","Einbecker Str. 1","37603","Holzminden","Niedersachsen","Programm","","Blick über den Zaun","0"
"Südschule Lemgo","Am Stiftsland 8","32657","Lemgo","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"Urspringschule Schelklingen","Urspring 1","89601","Schelklingen","Baden-Württemberg","Programm","","Blick über den Zaun","0"
"Valentin-Traudt-Schule Großalmerode","Baumhofstr. 21","37247","Großalmerode","Hessen","Programm","","Blick über den Zaun","0"
"Wartburg Grundschule Münster","Toppheideweg 91","48161","Münster","Nordrhein-Westfalen","Programm","","Blick über den Zaun","1"
"Werbellinsee-Grundschule Berlin","Luitpoldstraße 38/39","10781","Berlin","Berlin","Programm","","Blick über den Zaun","0"
"Werkstattschule in Rostock","Pawlowstr. 16","18059","Rostock","Mecklenburg-Vorpommern","Programm","","Blick über den Zaun","0"
"Wilhelm-Bracke-Gesamtschule Braunschweig","Rheinring 12","38120","Braunschweig","Niedersachsen","Programm","","Blick über den Zaun","1"
