"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Schule Wesperloh","","","Hamburg","Hamburg","Wettbewerb","1979/80","Vorlesewettbewerb","422"
"Schule Grellkamp","","","Hamburg","Hamburg","Wettbewerb","1985/86","Vorlesewettbewerb","422"
"Gymnasium Corveystraße","","","Hamburg","Hamburg","Wettbewerb","2001/02","Vorlesewettbewerb","422"
"Carl-von-Ossietzky-Gymnasium","","","Hamburg","Hamburg","Wettbewerb","2005/06","Vorlesewettbewerb","422"
"Gymnasium Eppendorf","","","Hamburg","Hamburg","Wettbewerb","2011/12","Vorlesewettbewerb","422"
"Schule am Schloßplatz","","","Hanau","Hessen","Wettbewerb","1984/85","Vorlesewettbewerb","0"
"Schiller-Gymnaium","","","Heidenheim","Niedersachsen","Wettbewerb","1977/78","Vorlesewettbewerb","2"
"Orientierungsstufe","","","Hermannsburg","Niedersachsen","Wettbewerb","2003/04","Vorlesewettbewerb","4"
"Josef Reding Schule","","","Holzwickede","Nordrhein-Westfalen","Wettbewerb","2004/05","Vorlesewettbewerb","7"
"Kolleg der Schulbrüder","","","Illertissen","Bayern","Wettbewerb","1974/75","Vorlesewettbewerb","8"
"Staatl. Blindenschule","","","Ilvesheim","Baden-Württemberg","Wettbewerb","1982/83","Vorlesewettbewerb","0"
"Hauptschule","","","Itzehoe","Schleswig-Holstein","Wettbewerb","1981/82","Vorlesewettbewerb","15"
"Staatl. Jenaplan-Schule","","","Jena","Thüringen","Wettbewerb","2008/09","Vorlesewettbewerb","38"
"Klaus-Harms-Schule","","","Kappeln","Schleswig-Holstein","Wettbewerb","1984/85","Vorlesewettbewerb","4"
"Kant-Gymnasium","","","Karlsruhe","Baden-Württemberg","Wettbewerb","1963/64","Vorlesewettbewerb","1"
"Goetheschule","","","Kassel","Hessen","Wettbewerb","2009/10","Vorlesewettbewerb","4"
"Kieler Gelehrtenschule","","","Kiel","Schleswig-Holstein","Wettbewerb","1983/84","Vorlesewettbewerb","68"
"Staatl. Eichendorff-Gymn.","","","Koblenz","Rheinland-Pfalz","Wettbewerb","1978/79","Vorlesewettbewerb","4"
"Suso-Gymnasium","","","Konstanz","Baden-Württemberg","Wettbewerb","1972/73","Vorlesewettbewerb","0"
"Eugen-Bolz-Schule","","","Kornwestheim","Baden-Württemberg","Wettbewerb","1973/74","Vorlesewettbewerb","0"
"Grund- und Hauptschule","","","Künzelsau","Baden-Württemberg","Wettbewerb","1988/89","Vorlesewettbewerb","0"
"Hauptschule Laasphe","","","Laasphe","Nordrhein-Westfalen","Wettbewerb","1980/81","Vorlesewettbewerb","6"
"Johannes-Kepler-Gymnasium","","","Leonberg","Baden-Württemberg","Wettbewerb","1998/99","Vorlesewettbewerb","0"
"Gymnasium Löningen","","","Löningen","Niedersachsen","Wettbewerb","1973/74","Vorlesewettbewerb","8"
"Hauptschule Lunden","","","Lunden","Schleswig-Holstein","Wettbewerb","1994/95","Vorlesewettbewerb","1"
"Wilhelm-Wundt-Schule","","","Mannheim","Baden-Württemberg","Wettbewerb","1976/77","Vorlesewettbewerb","1"
"Staatl. Gymnasium","","","Mayen","Rheinland-Pfalz","Wettbewerb","1980/81","Vorlesewettbewerb","0"
"Kath. Hauptschule Neuwerk","","","Mönchengladbach","Nordrhein-Westfalen","Wettbewerb","1997/98","Vorlesewettbewerb","77"
"Neues Realgymnasium","","","München","Bayern","Wettbewerb","1960/61","Vorlesewettbewerb","370"
"Wilhelmsgymnasium","","","München","Bayern","Wettbewerb","1967/68","Vorlesewettbewerb","370"
"Gesamtschule","","","Nidderau","Hessen","Wettbewerb","1982/83","Vorlesewettbewerb","0"
"Coppernicus Gymnasium","","","Norderstedt","Schleswig-Holstein","Wettbewerb","2004/05","Vorlesewettbewerb","23"
"Volksschule","","","Oberfinning","Bayern","Wettbewerb","1990/91","Vorlesewettbewerb","0"
"Gymnasium in der Wüste","","","Osnabrück","Niedersachsen","Wettbewerb","1974/75","Vorlesewettbewerb","76"
"Gesamts. Osnabrück-Schinkel","","","Osnabrück","Niedersachsen","Wettbewerb","1985/86","Vorlesewettbewerb","76"
"Gymnasium Leopoldinum","","","Passau","Bayern","Wettbewerb","1989/90","Vorlesewettbewerb","28"
"Eisenhart-Schule","","","Potsdam","Brandenburg","Wettbewerb","2010/11","Vorlesewettbewerb","78"
"Grund- und Hauptschule","","","Rellingen","Schleswig-Holstein","Wettbewerb","1983/84","Vorlesewettbewerb","4"
"Volksschule","","","Rosenheim","Bayern","Wettbewerb","1979/80","Vorlesewettbewerb","25"
"Jugenddorf Christophorussch.","","","Rostock","Mecklenburg-Vorpommern","Wettbewerb","1995/96","Vorlesewettbewerb","45"
"Jugenddorf Christophorussch.","","","Rostock","Mecklenburg-Vorpommern","Wettbewerb","1996/97","Vorlesewettbewerb","45"
"Deutsch-Französisches Gymnasium","","","Saarbrücken","Saarland","Wettbewerb","2012/13","Vorlesewettbewerb","1"
"Domschule","","","Schleswig","Schleswig-Holstein","Wettbewerb","2002/03","Vorlesewettbewerb","17"
"Staatliche Realschule","","","Schongau","Bayern","Wettbewerb","1965/66","Vorlesewettbewerb","6"
"Förderschule","","","Schwäbisch Gmünd","Baden-Württemberg","Wettbewerb","1978/79","Vorlesewettbewerb","0"
"Pädagogium","","","Schwerin","Mecklenburg-Vorpommern","Wettbewerb","2008/09","Vorlesewettbewerb","20"
"Fürst-Johann-Moritz-Gymn.","","","Siegen","Nordrhein-Westfalen","Wettbewerb","1982/83","Vorlesewettbewerb","48"
"Johannes-Turmair-Gymnasium","","","Straubing","Bayern","Wettbewerb","1971/72","Vorlesewettbewerb","24"
"Leibniz-Gymnasium","","","Stuttgart","Baden-Württemberg","Wettbewerb","1994/95","Vorlesewettbewerb","3"
"Geschwister-Scholl-HS","","","Trier","Rheinland-Pfalz","Wettbewerb","1993/94","Vorlesewettbewerb","3"
"Geschwister-Scholl-Gymnasium","","","Unna","Nordrhein-Westfalen","Wettbewerb","2006/07","Vorlesewettbewerb","25"
"Gymnasium","","","Unterhaching","Bayern","Wettbewerb","1987/89","Vorlesewettbewerb","6"
"Walbert-Schule","","","Vreden","Nordrhein-Westfalen","Wettbewerb","2005/06","Vorlesewettbewerb","8"
"GHS Walzbachtal","","","Walzb.-Jöhlingen","Baden-Württemberg","Wettbewerb","1981/82","Vorlesewettbewerb","0"
"Volksschule Weihenzell","","","Weihenzell","Bayern","Wettbewerb","1995/96","Vorlesewettbewerb","1"
"Hauptschule","","","Wertheim","Baden-Württemberg","Wettbewerb","1983/84","Vorlesewettbewerb","0"
"VS Stöttwang-Westendorf","","","Westendorf","Bayern","Wettbewerb","1992/93","Vorlesewettbewerb","2"
"Elly-Heuss-Schule","","","Wiesbaden","Hessen","Wettbewerb","1985/86","Vorlesewettbewerb","3"
"Sekundarschule","","","Wittenberg","Sachsen-Anhalt","Wettbewerb","1999/00","Vorlesewettbewerb","32"
"Regionale Schule","","","Zehna","Mecklenburg-Vorpommern","Wettbewerb","2013/14","Vorlesewettbewerb","1"
