"Name","Straße","PLZ","Ort","Bundesland","Type","Jahr","Titel","id"
"Heidelberger Privatschulcentrum","","","Heidelberg","Baden Württemberg","Wettbewerb","2007-2016","Juvenes Translators","1"
"Buigen-Gymnasium","","","Herbrechtingen","Baden-Württemberg","Wettbewerb","2007-2016","Juvenes Translators","0"
"Gymnasium Herzogenaurach","","","Herzogenaurach","Bayern","Wettbewerb","2007-2016","Juvenes Translators","9"
"Theodor-Heuss-Schule","","","Homberg/Efze","Hessen","Wettbewerb","2007-2016","Juvenes Translators","0"
"Kolleg der Schulbrüder","","","Illertissen","Bayern","Wettbewerb","2007-2016","Juvenes Translators","8"
"Bismarck-Gymnasium","","","Karlsruhe","Baden-Württemberg","Wettbewerb","2007-2016","Juvenes Translators","1"
"Johann-Schöner-Gymnasium","","","Karlstadt","Bayern","Wettbewerb","2007-2016","Juvenes Translators","6"
"Jakob-Brucker-Gymnasium","","","Kaufbeuren","Bayern","Wettbewerb","2007-2016","Juvenes Translators","17"
"CJD Christophorusschule","","","Königswinter","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","15"
"Hans-Leinberger-Gymnasium","","","Landshut","Bayern","Wettbewerb","2007-2016","Juvenes Translators","28"
"Gymnasium Maria Königin","","","Lennestadt","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","12"
"Freiherr-vom-Stein-Gymnasium","","","Leverkusen","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","46"
"Marienschule Opladen","","","Leverkusen","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","46"
"Martin-Luther-Schule","","","Marburg","Hessen","Wettbewerb","2007-2016","Juvenes Translators","0"
"Fremdspracheninstitut der Landeshauptstadt München","","","München","Bayern","Wettbewerb","2007-2016","Juvenes Translators","370"
"Gymnasium Paulinum","","","Münster","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","122"
"Kardinal-von-Galen-Gymnasium","","","Münster","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","122"
"Wilhelm-Hittorf-Gymnasium","","","Münster","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","122"
"Landesschule Pforta","","","Naumburg","Sachsen-Anhalt","Wettbewerb","2007-2016","Juvenes Translators","20"
"Coppernicus Gymnasium","","","Norderstedt","Schleswig-Holstein","Wettbewerb","2007-2016","Juvenes Translators","23"
"Melanchthon-Gymnasium","","","Nürnberg","Bayern","Wettbewerb","2007-2016","Juvenes Translators","138"
"Nürnberger Fremdsprachenschule","","","Nürnberg","Bayern","Wettbewerb","2007-2016","Juvenes Translators","138"
"Graf-Anton-Günther-Schule","","","Oldenburg","Niedersachsen","Wettbewerb","2007-2016","Juvenes Translators","75"
"Leibniz Gymnasium","","","Östringen","Baden-Württemberg","Wettbewerb","2007-2016","Juvenes Translators","0"
"Paul-Klee-Gymnasium","","","Overath","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","10"
"Gymnasium St. Michael","","","Paderborn","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","57"
"Leibniz-Gymnasium","","","Potsdam","Brandenburg","Wettbewerb","2007-2016","Juvenes Translators","78"
"Ludwig-Thoma-Gymnasium","","","Prien am Chiemsee","Bayern","Wettbewerb","2007-2016","Juvenes Translators","0"
"BbS J.P.C. Heinrich Mette","","","Quedlinburg","Sachsen-Anhalt","Wettbewerb","2007-2016","Juvenes Translators","13"
"Tulla-Gymnasium","","","Rastatt","Baden-Württemberg","Wettbewerb","2007-2016","Juvenes Translators","0"
"Jahngymnasium","","","Rathenow","Brandenburg","Wettbewerb","2007-2016","Juvenes Translators","10"
"Gymnasium Roth","","","Roth","Bayern","Wettbewerb","2007-2016","Juvenes Translators","50"
"Albert-Einstein-Gymnasium","","","Sankt Augustin","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","19"
"Gymnasium Schwertstraße","","","Solingen","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","45"
"Ratsgymnasium Stadthagen","","","Stadthagen","Niedersachsen","Wettbewerb","2007-2016","Juvenes Translators","12"
"Theodor-Fontane-Gymnasium","","","Strausberg","Brandenburg","Wettbewerb","2007-2016","Juvenes Translators","14"
"Hans und Sophie Scholl-Gymnasium","","","Ulm","Baden-Württemberg","Wettbewerb","2007-2016","Juvenes Translators","40"
"Gymnasium Laurentianum","","","Warendorf","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","20"
"Elly-Heuss-Gymnasium","","","Weiden","Bayern","Wettbewerb","2007-2016","Juvenes Translators","38"
"Europa-Berufsschule","","","Weiden","Bayern","Wettbewerb","2007-2016","Juvenes Translators","38"
"Gymnasium St. Christophorus","","","Werne","Nordrhein-Westfalen","Wettbewerb","2007-2016","Juvenes Translators","38"
"Johann-Sebastian-Bach-Gymnasium","","","Windsbach","Bayern","Wettbewerb","2007-2016","Juvenes Translators","2"
"Röntgen-Gymnasium","","","Würzburg","Bayern","Wettbewerb","2007-2016","Juvenes Translators","57"
